Species,Authority,Family,Species_OtherName,Symmetry,Symmetry.note,Symmetry.reference,Symmetry.Sauquet,Symmetry.Reyes,Symmetry.Kalisz,Species.Sauquet.Original,Reference.Sauquet,Species.Reyes.Original,Ref.Reyes,Species.Kalisz.Original,Ref.Kalisz,Cleistogamy,Type.Cleistogamy,Reference.Cleistogamy,Comments.Cleistogamy,SCindex,AutofertilityIndex
Philesia_magellanica,,Philesiaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Philesia magellanica,"Sauquet et al., 2017",Philesia magellanica,Reyes et al. 2016,,,0,,,,,
Phillyrea_angustifolia,,Oleaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phillyrea angustifolia,1,0,,,,,
Phillyrea_latifolia,,Oleaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phillyrea latifolia,1,0,,,,,
Philydrum_lanuginosum,,Philydraceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Philydrum lanuginosum,"Sauquet et al., 2017",Philydrum lanuginosum,Reyes et al. 2016,,,0,,,,,
Phlogacanthus_turgidus,,Acanthaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Phlogacanthus turgidus,1,0,,,,,
Phlox_bifida,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phlox bifida,1,0,,,,,
Phlox_glaberrima,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phlox glaberrima,1,0,,,,,
Phlox_longifolia,,Polemoniaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Phlox longifolia,"Sauquet et al., 2017",,,,,0,,,,,
Phlox_paniculata,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phlox paniculata,1,0,,,,,
Phlox_subulata,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phlox subulata,1,0,,,,,
Phoenix_dactylifera,,Arecaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Phoenix dactylifera,"Sauquet et al., 2017",,,,,0,,,,,
Photinia_fraseri,,Rosaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Photinia x fraseri,"Sauquet et al., 2017",,,,,0,,,,,
Photinia_glabra,,Rosaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Photinia glabra,Reyes et al. 2016,,,0,,,,,
Phragmanthera_regularis,,Loranthaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Phragmanthera regularis,Reyes et al. 2016,,,0,,,,,
Phryma_leptostachya,,Phrymaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Phryma leptostachya,"Sauquet et al., 2017",Phryma leptostachya,Reyes et al. 2016,,,0,,,,,
Phuopsis_stylosa,,Rubiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Crucianella stylosa,1,0,,,,,
Phygelius_capensis,,Scrophulariaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Phygelius capensis,1,0,,,,,
Phyla_nodiflora,,Verbenaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Phyla incisa,1,0,,,,,
Phyllachne_sedifolia,,Stylidiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyllachne sedifolia,family scored from ref. 1,0,,,,,
Phyllanthus_flexuosus,,Phyllanthaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Phyllanthus flexuosus,"Sauquet et al., 2017",,,,,0,,,,,
Phyllarthron_balansae,,Bignoniaceae ,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyllarthron balansae,2,0,,,,,
Phyllarthron_biforme,,Bignoniaceae ,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyllarthron biforme,2,0,,,,,
Phyllarthron_otopyrenum,,Bignoniaceae ,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyllarthron otopyrenum,2,0,,,,,
Phyllodoce_caerulea,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyllodoce caerulea,1,0,,,,,
Phyllonoma_laticuspis,,Phyllonomaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Phyllonoma laticuspis,"Sauquet et al., 2017",Phyllonoma laticuspis,Reyes et al. 2016,,,0,,,,,
Physalis_alkekengi,,Solanaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Physalis alkekengi,1,0,,,,,
Physalis_peruviana,,Solanaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Physalis peruviana,Reyes et al. 2016,,,0,,,,,
Physalis_viscosa,,Solanaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Physalis viscosa,1,0,,,,,
Physena_madagascariensis,,Physenaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Physena madagascariensis,"Sauquet et al., 2017",Physena madagascariensis,Reyes et al. 2016,,,0,,,,,
Physochlaina_orientalis,,Solanaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Physochlaina orientalis,1,0,,,,,
Physochlaina_physaloides,,Solanaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Physochlaina physaloides,Reyes et al. 2016,,,0,,,,,
Physoplexis_comosa,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma comosum,3,0,,,,,
Physostegia_virginiana,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Physostegia virginiana,1,0,,,,,
Phyteuma_globulariifolium,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma pauciflorum,3,0,,,,,
Phyteuma_hemisphaericum,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma hemisphaericum,3,0,,,,,
Phyteuma_humile,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma humile,3,0,,,,,
Phyteuma_michelii,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma michelii,3,0,,,,,
Phyteuma_nigrum,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma nigrum,3,0,,,,,
Phyteuma_orbiculare,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma orbiculare,3,0,,,,,
Phyteuma_ovatum,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma halleri,3,0,,,,,
Phyteuma_scheuchzeri,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma scheuchzeri,3,0,,,,,
Phyteuma_spicatum,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Phyteuma spicatum,3,0,,,,,
Phytolacca_americana,,Phytolaccaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Phytolacca americana,"Sauquet et al., 2017",Phytolacca americana,Reyes et al. 2016,,,0,,,,,
Picramnia_polyantha,,Picramniaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Picramnia polyantha,"Sauquet et al., 2017",Picramnia polyantha,Reyes et al. 2016,,,0,,,,,
Picris_hieracioides,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Picris hieracioides,2,0,,,,,
Pilea_cadierei,,Urticaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Pilea cadierei,"Sauquet et al., 2017",,,,,0,,,,,
Pilosella_officinarum,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Hieracium pilosella,2,0,,,,,
Pilostyles_hamiltonii,,Apodanthaceae,,Act,,"Sipes, Sedonia & Hartz, Kara & Amin, Hardik & Anterola, Aldwin & Nickrent, Daniel. (2014). Floral scent and pollinators of the holoparasite Pilostyles thurberi (Apodanthaceae). Journal of Pollination Ecology. 12. 31-39. ",,,,,,Pilostyles hamiltonii,,,,0,,,,,
Pimelodendron_zoanthogyne,,Euphorbiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Pimelodendron zoanthogyne,"Sauquet et al., 2017",,,,,0,,,,,
Pimpinella_integerrima,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pimpinella integerrima,1,0,,,,,
Pimpinella_major,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pimpinella major,1,0,,,,,
Pimpinella_saxifraga,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pimpinella saxifraga,1,0,,,,,
Pinckneya_bracteata,,Rubiaceae,Pinckneya pubens (Kew),Act,,"Kalisz et al., 2006",,,Act,,,,,Pinckneya bracteata,1,0,,,,,
Pinguicula_moranensis,,Lentibulariaceae,,Zygo,,"Sauquet et al., 2017; ",Zygo,,,Pinguicula moranensis,"Sauquet et al., 2017",,,,,0,,,,,
Pinguicula_villosa,,Lentibulariaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Pinguicula villosa,Reyes et al. 2016,,,0,,,,,
Piper_aduncum,,Piperaceae,,Act,,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77126695-1,,,,,,Piper aduncum,,,,0,,,,,
Pisum_fulvum,,Leguminosae,,Zygo,,https://flora.org.il/en/plants/PISFUL/,,,,,,,,,,1,dimorphic,Kaul et al. 2000,,,
Pisum_sativum,,Leguminosae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Pisum sativum,"Sauquet et al., 2017",Pisum sativum,Reyes et al. 2016,,,0,,,,,
Pitcairnia_feliciana,,Bromeliaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Pitcairnia feliciana,Reyes et al. 2016,,,0,,,,,
Pittosporum_dasycaulon,,Pittosporaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Pittosporum dasycaulon,Reyes et al. 2016,,,0,,,,,
Pittosporum_tobira,,Pittosporaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Pittosporum tobira,"Sauquet et al., 2017",Pittosporum tobira,Reyes et al. 2016,,,0,,,,,
Placospermum_coriaceum,,Proteaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Placospermum coriaceum,Reyes et al. 2016,,,0,,,,,
Plantago_afra,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago cynops,1,0,,,,,
Plantago_alpina,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago alpina,1,0,,,,,
Plantago_aristata,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago aristat,1,0,,,,,
Plantago_coronopus,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago coronopus,1,0,,,,,
Plantago_drummondii,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago drummondii,1,0,,,,,
Plantago_indica,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago arenaria,1,0,,,,,
Plantago_lagopus,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago lagopus,1,0,,,,,
Plantago_lanceolata,,Plantaginaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; Kalisz et al., 2006",Act,Act,Act,Plantago lanceolata,"Sauquet et al., 2017",Plantago lanceolata,Reyes et al. 2016,Plantago lanceolata,1,0,,,,,
Plantago_major,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago major,1,0,,,,,
Plantago_maritima,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago maritima,1,0,,,,,
Plantago_media,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago media,1,0,,,,,
Plantago_montana,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago montana,1,0,,,,,
Plantago_ovata,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago ovata,1,0,,,,,
Plantago_patagonica,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago patagonica,1,0,,,,,
Plantago_raoulii,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago raoulii,1,0,,,,,
Plantago_rugelii,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago rugelii,1,0,,,,,
Plantago_spathulata,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago spathulata,1,0,,,,,
Plantago_virginica,,Plantaginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Plantago virginica,1,1,dimorphic,Mesler 1977,From Lord 1981,,
Platycodon_grandiflorus,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Platycodon grandiflorus,2,0,,,,,
Platysace_lanceolata,,Apiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Platysace lanceolata,"Sauquet et al., 2017",,,,,0,,,,,
Platyspermation_crassifolium,,Escalloniaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Platyspermation crassifolium,"Sauquet et al., 2017",,,,,0,,,,,
Plectranthus_ambiguus,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus ambiguus,1,0,,,,,
Plectranthus_ciliatus,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus ciliatus,1,0,,,,,
Plectranthus_ecklonii,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus eckloni,1,0,,,,,
Plectranthus_fruticosus,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus fruticosus,1,0,,,,,
Plectranthus_hadiensis,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus tomentosus,1,0,,,,,
Plectranthus_hilliardiae,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus hilliardiae,1,0,,,,,
Plectranthus_laxiflorus,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus laxiflorus,1,0,,,,,
Plectranthus_madagascariensis,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus madagascariensis,1,0,,,,,
Plectranthus_oribiensis,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus orbiensis,1,0,,,,,
Plectranthus_vestitus,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus vestitus,1,0,,,,,
Plectranthus_zuluensis,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectranthus zuluensis,1,0,,,,,
Plectritis_brachystemon,,Caprifoliaceae,Plectritis congesta subsp. brachystemon (Kew),Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Plectritis brachystemon,2,0,,,,,
Pleea_tenuifolia,,Tofieldiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Pleea tenuifolia,"Sauquet et al., 2017",,,,,0,,,,,
Pleiotaxis_angolensis,,Compositae,,Act,,Reyes et al. 2016; ,,Act,,,,Pleiotaxis angolensis,Reyes et al. 2016,,,0,,,,,
Pleurospermum_austriacum,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pleurospermum austriacum,1,0,,,,,
Plocosperma_buxifolium,,Plocospermataceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Plocosperma buxifolium,"Sauquet et al., 2017",Plocosperma buxifolium,Reyes et al. 2016,,,0,,,,,
Plowmanianthus_grandifolius,,Commelinaceae,,Zygo,,"Hardy, Christopher R., and Robert B. Faden. 2004. Plowmanianthus, a new genus of Commelinaceae with five new species from tropical America. Systematic Botany 29.2 (2004): 316-333.",,,,,,,,,,1,dimorphic,Hardy & Faden 2004,,,
Plowmanianthus_panamensis,,Commelinaceae,,Zygo,,"Hardy, Christopher R., and Robert B. Faden. 2004. Plowmanianthus, a new genus of Commelinaceae with five new species from tropical America. Systematic Botany 29.2 (2004): 316-333.",,,,,,,,,,1,dimorphic,Hardy & Faden 2004,,,
Plumbago_auriculata,,Plumbaginaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Plumbago auriculata,"Sauquet et al., 2017",Plumbago auriculata,Reyes et al. 2016,,,0,,,,,
Podistera_eastwoodiae,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Podistera eastwoodae,1,0,,,,,
Podistera_macounii,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Podistera macounii,1,0,,,,,
Podistera_nevadensis,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Podistera nevadensis,1,0,,,,,
Podocalyx_loranthoides,,Picrodendraceae,,Act,Family description,http://malpighiales.myspecies.info/category/neotropical-euphorbiaceae-sl/picrodendraceae/podocalyx,,,,Podocalyx loranthoides,,,,,,0,,,,,
Podophyllum_peltatum,,Berberidaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Podophyllum peltatum,"Sauquet et al., 2017",,,,,0,,,,,
Podostemum_ceratophyllum,,Podostemaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Podostemum ceratophyllum,"Sauquet et al., 2017",Podostemum ceratophyllum,Reyes et al. 2016,,,0,,,,,
Pogostemon_crassicaulis,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Mentha verticilla,1,0,,,,,
Polemonium_caeruleum,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polemonium caeruleum,1,0,,,,,
Polemonium_foliosissimum,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polemonium foliosissimum,1,0,,,,,
Polemonium_hultenii,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polemonium humile,1,0,,,,,
Polemonium_micranthum,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polemonium micranthum,1,0,,,,,
Polemonium_reptans,,Polemoniaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; Kalisz et al., 2006",Act,Act,Act,Polemonium reptans,"Sauquet et al., 2017",Polemonium reptans,Reyes et al. 2016,Polemonium reptans,1,0,,,,,
Polemonium_viscosum,,Polemoniaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polemonium viscosum,1,0,,,,,
Poliothyrsis_sinensis,,Salicaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Poliothyrsis sinensis,"Sauquet et al., 2017",,,,,0,,,,,
Pollia_hasskarlii,,Commelinaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Pollia hasskarlii,Reyes et al. 2016,,,0,,,,,
Polycarpon_tetraphyllum,,Caryophyllaceae,,Act,, http://www.tropicos.org/Image/100217279,,,,,,,,,,1,dimorphic,Maheshwari 1962,,,
Polygala_paniculata,,Polygalaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Polygala paniculata,Reyes et al. 2016,,,0,,,,,
Polygala_pauciflora,,Polygalaceae,Muraltia pauciflora (Kew),Zygo,,"Sauquet et al., 2017; ",Zygo,,,Polygala pauciflora,"Sauquet et al., 2017",,,,,1,dimorphic,Ritzerow 1908,From Lord 1981,,
Polygala_polygama,,Polygalaceae,,Zygo,,http://www.mobot.org/MOBOT/Research/APweb/welcome.html et pers obs https://plants.sc.egov.usda.gov/core/profile?symbol=POPO,,,,,,,,,,1,dimorphic,Ritzerow 1908,From Lord 1981,,
Polygonum_thunbergii,,Polygonaceae,Persicaria thunbergii  (Kew),Act,, https://www.inaturalist.org/taxa/333071-Persicaria-thunbergii,,,,,,,,,,1,dimorphic,Sawamura 1969,From Lord 1981,,
Polyosma_cunninghamii,,Escalloniaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Polyosma cunninghamii,"Sauquet et al., 2017",Polyosma cunninghamii,Reyes et al. 2016,,,0,,,,,
Polypremum_procumbens,,Tetrachondraceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Polypremum procumbens,"Sauquet et al., 2017",Polypremum procumbens,Reyes et al. 2016,,,0,,,,,
Polyscias_bracteata,,Araliaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polyscias bracteata,2,0,,,,,
Polyscias_calophylla,,Araliaceae,"Non reconnue par Kew, ne serait pas encore approuvé: ""Gâteblé Gildas, Barrabé Laure, McPherson Gordon, Munzinger Jérôme, Snow Neil, Swenson Ulf (2018) One new endemic plant species on average per month in New Caledonia, including eight more new species from Île Art (Belep Islands), a major micro-hotspot in need of protection. Australian Systematic Botany 31, 448-480.""",Act,,"Kalisz et al., 2006",,,Act,,,,,Polyscias calophylla,2,0,,,,,
Polyscias_cumingiana,,Araliaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polyscias cumingiana,2,0,,,,,
Polyscias_cutispongia,,Araliaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Schefflera baillonii,2,0,,,,,
Polyscias_guilfoylei,,Araliaceae,,Act,,"Sauquet et al., 2017; Kalisz et al., 2006",Act,,Act,Polyscias guilfoylei,"Sauquet et al., 2017",,,Polyscias guilfoylei,2,0,,,,,
Polyscias_hawaiensis,,Araliaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Tetraplasandra hawaiensis,"Sauquet et al., 2017",,,,,0,,,,,
Polyscias_mackeei,,Araliaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polyscias mackeei,2,0,,,,,
Polyscias_sambucifolia,,Araliaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polyscias sambucifolia,2,0,,,,,
Polyscias_scutellaria,,Araliaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polyscias scutellariia,2,0,,,,,
Polytaenia_nuttallii,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polytaenia nuttallii,1,0,,,,,
Polytaenia_texana,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Polytaenia texana,1,0,,,,,
Pontederia_cordata,,Pontederiaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Pontederia cordata,"Sauquet et al., 2017",Pontederia cordata,Reyes et al. 2016,,,0,,,,,
Portulaca_grandiflora,,Portulacaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Portulaca grandiflora,"Sauquet et al., 2017",,,,,0,,,,,
Portulaca_oleracea,,Portulacaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Portulaca oleracea,Reyes et al. 2016,,,0,,,,,
Potamogeton_berchtoldii,,Potamogetonaceae,,Act,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=126627 et pers obs http://www.freenatureimages.eu/plants/Flora%20O-R/Potamogeton%20berchtoldii/index.html#Potamogeton%20berchtoldii%201%2C%20Klein%20fonteinkruid%2C%20Saxifraga-Rutger%20Barendse.jpg,,,,Potamogeton berchtoldii,,,,,,0,,,,,
Pothos_scandens,,Araceae,,Act,,Reyes et al. 2016; ,,Act,,,,Pothos scandens,Reyes et al. 2016,,,0,,,,,
Prenanthes_purpurea,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Prenanthes purpurea,2,0,,,,,
Prepusa_montana,,Gentianaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Prepusa montana,Reyes et al. 2016,,,0,,,,,
Primula_egaliksensis,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Primula egaliksensis,1,0,,,,,
Primula_farinosa,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Primula farinosa,1,0,,,,,
Primula_laurentiana,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Primula laurentiana,1,0,,,,,
Primula_longiflora,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Primula longiflora,1,0,,,,,
Primula_matthioli,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Cortusa matthiola,1,0,,,,,
Primula_sieboldii,,Primulaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Primula sieboldii,"Sauquet et al., 2017",Primula sieboldii,Reyes et al. 2016,,,0,,,,,
Primula_vulgaris,,Primulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Primula vulgaris,1,0,,,,,
Prockia_crucis,,Salicaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Prockia crucis,"Sauquet et al., 2017",Prockia crucis,Reyes et al. 2016,,,0,,,,,
Protea_cynaroides,,Proteaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Protea cynaroides,Reyes et al. 2016,,,0,,,,,
Prunella_grandiflora,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Prunella grandiflora,1,0,,,,,
Prunella_laciniata,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Prunella laciniata,1,0,,,,,
Prunus_persica,,Rosaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Prunus persica,"Sauquet et al., 2017",,,,,0,,,,,
Pseudocymopterus_longiradiatus,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pseudocymopterus longiradiatus,1,0,,,,,
Pseudocymopterus_montanus,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pseudocymopterus montanus,1,0,,,,,
Pseudonemacladus_oppositifolius,,Campanulaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Pseudonemacladus oppositifolius,"Sauquet et al., 2017",Pseudonemacladus oppositifolius,Reyes et al. 2016,,,0,,,,,
Pterostemon_rotundifolius,,Iteaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Pterostemon rotundifolius,"Sauquet et al., 2017",,,,,0,,,,,
Ptilimnium_capillaceum,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Ptilimnium capillaceum,1,0,,,,,
Ptilimnium_costatum,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Ptilimnium costatum,1,0,,,,,
Ptilimnium_fluviatile,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Ptilimnium fluviatile,1,0,,,,,
Ptilimnium_nuttallii,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Ptilimnium nuttallii,1,0,,,,,
Pulicaria_dysenterica,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pulicaria dysenterica,2,0,,,,,
Pulicaria_vulgaris,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pulicaria uliginosum,2,0,,,,,
Pulmonaria_angustifolia,,Boraginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pulmonaria angustifolia,1,0,,,,,
Pulmonaria_collina,,Boraginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Pulmonaria collina,1,0,,,,,
Pulmonaria_officinalis,,Boraginaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Pulmonaria officinalis,Reyes et al. 2016,,,0,,,,,
Puya_raimondii,,Bromeliaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Puya raimondii,"Sauquet et al., 2017",Puya raimondii,Reyes et al. 2016,,,0,,,,,
Pycnanthemum_muticum,,Lamiaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Pycnanthemum muticum,1,0,,,,,
Pyrola_rotundifolia,,Ericaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Pyrola rotundifolia,Reyes et al. 2016,,,0,,,,,
