Species,Authority,Family,Species_OtherName,Symmetry,Symmetry.note,Symmetry.reference,Symmetry.Sauquet,Symmetry.Reyes,Symmetry.Kalisz,Species.Sauquet.Original,Reference.Sauquet,Species.Reyes.Original,Ref.Reyes,Species.Kalisz.Original,Ref.Kalisz,Cleistogamy,Type.Cleistogamy,Reference.Cleistogamy,Comments.Cleistogamy,SCindex,AutofertilityIndex
Echinops_ritro,,Compositae,,Act,,"Reyes et al. 2016; Kalisz et al., 2006",,Act,Act,,,Echinops ritro,Reyes et al. 2016,Echinops ritro,2,0,,,,,
Echinops_sphaerocephalus,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Echinops sphaerocephalus,2,0,,,,,
Echiochilon_arenarium,,Boraginaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Echiochilon arenarium,Reyes et al. 2016,,,0,,,,,
Echiochilon_fruticosum,,Boraginaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Echiochilon fruticosum,Reyes et al. 2016,,,0,,,,,
Echium_vulgare,,Boraginaceae,,Zygo,,"Reyes et al. 2016; Kalisz et al., 2006",,Zygo,Zygo,,,Echium vulgare,Reyes et al. 2016,Echium vulgare,1,0,,,,,
Ehretia_acuminata,,Boraginaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Ehretia acuminata,"Sauquet et al., 2017",,,,,0,,,,,
Elaeagnus_umbellata,,Elaeagnaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Elaeagnus umbellata,"Sauquet et al., 2017",Elaeagnus umbellata,Reyes et al. 2016,,,0,,,,,
Elaeis_guineensis,,Arecaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Elaeis guineensis,"Sauquet et al., 2017",,,,,0,,,,,
Elaeocarpus_reticulatus,,Elaeocarpaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Elaeocarpus reticulatus,"Sauquet et al., 2017",,,,,0,,,,,
Elaeocarpus_sylvestris,,Elaeocarpaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Elaeocarpus sylvestris,Reyes et al. 2016,,,0,,,,,
Elatine_triandra,,Elatinaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Elatine triandra,"Sauquet et al., 2017",Elatine triandra,Reyes et al. 2016,,,0,,,,,
