og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_species,sym_genus,sym_family,rank_sym_scored_at,sym_data_source,sym_data_reference,latitude_data_entry_notes
Siparuna.neglecta,Siparunaceae,20 to 30,NA,NA,Loja (Ecuador),NA,NA,2200,Secondary growth,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,25,Siparuna neglecta,NA,NA,Siparuna muricata,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,genus,guessed from the illustration,POWO,
Siparuna.neglecta,Siparunaceae,30,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,30,Siparuna neglecta,NA,NA,Siparuna muricata,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,genus,guessed from the illustration,POWO,
Siparuna.pauciflora,Siparunaceae,3 to 4,NA,NA,Jatun Sacha (Ecuador),NA,NA,400,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,3.5,Siparuna pauciflora,NA,NA,Siparuna pauciflora,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,guessed from the illustration,iNaturalist,
Siparuna.pauciflora,Siparunaceae,10,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,10,Siparuna pauciflora,NA,NA,Siparuna pauciflora,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,guessed from the illustration,iNaturalist,
Siparuna.sarauiifolia,Siparunaceae,8,NA,NA,Zamora (Ecuador),NA,NA,2000,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality,8,Siparuna sarauiifolia,NA,NA,Siparuna tomentosa,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,genus,interpreted from the text,paper,
Siparuna.aff.thecaphora,Siparunaceae,2,NA,NA,Añangu (Ecuador),NA,NA,300,Primary and secondary forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,2,Siparuna aff thecaphora,NA,NA,Siparuna thecaphora,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Siparuna.aff.thecaphora,Siparunaceae,3 to 5,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,4,Siparuna aff thecaphora,NA,NA,Siparuna thecaphora,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Siparuna.umbellifera,Siparunaceae,30,NA,NA,Cajanuma (Ecuador),NA,NA,2800,Cloud forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,30,Siparuna umbellifera,NA,NA,Siparuna muricata,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,genus,guessed from the illustration,POWO,
Siparuna.umbellifera,Siparunaceae,30,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,30,Siparuna umbellifera,NA,NA,Siparuna muricata,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,genus,guessed from the illustration,POWO,
Solanum.vespertilio,Solanaceae,4,NA,1,"University of Connecticut, Connecticut (USA)",NA,NA,NA,Greenhouse,Anderson et al. (2015). Plant Syst. Evol. 301: 1191-1206.,NA,Weakly SC,0,Am species. Data for h flowers.,NA,NA,NA,marcoshighquality,4,Solanum vespertilio,NA,NA,Solanum vespertilio,species,Solanaceae,Solanum,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
