og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Rhodohypoxis.baurii.var.confecta,Hypoxidaceae,14,NA,0,Royal Natal NP (South Africa),-28.7275,28.89138889,2550,Mountain grassland,Gardiner & Glennon (2019). Int. J. Plant Sci. 180: 965-973.,NA,SC,NA,NA,NA,NA,NA,marcoshighquality,14,Rhodohypoxis baurii var confecta
Rhodophiala.rhodolirion(=Rhodolirion.montanum),Amaryllidaceae,7.7,0.2,3,La Parva-Valle Nevado (Chile),NA,NA,NA,Alpine,Ladd & Arroyo (2009). Pl. Sp. Biol. 24: 2-10.,NA,SC,0,NA,NA,NA,NA,marcoshighquality,7.7,Rhodolirion montanum
Rhodophiala.rhodolirion(=Rhodolirion.montanum),Amaryllidaceae,3.6,0.15,3,Farellones-Valle Nevado LOW (Chile),NA,NA,2350,Alpine,Arroyo et al. (2017). AoB Plants 9: plx050.,NA,PSC,0,"Data for unvisited plants from Pacheco et al. (2016). PLoS ONE 11: e0166350, Fig. 3.",5.7,0.09,NA,marcoshighquality marcoshighquality marcoshighquality,3.6,Rhodolirion montanum
Rhodophiala.rhodolirion(=Rhodolirion.montanum),Amaryllidaceae,4.75,0.17,3,Farellones-Valle Nevado MID (Chile),NA,NA,2650,Alpine,Arroyo et al. (2017). AoB Plants 9: plx050.,NA,PSC,0,"Data for unvisited plants from Pacheco et al. (2016). PLoS ONE 11: e0166350, Fig. 3.",6.3,0.2,NA,marcoshighquality marcoshighquality marcoshighquality,4.75,Rhodolirion montanum
Rhodophiala.rhodolirion(=Rhodolirion.montanum),Amaryllidaceae,5.2,0.21,3,Farellones-Valle Nevado HIGH (Chile),NA,NA,3075,Alpine,Arroyo et al. (2017). AoB Plants 9: plx050.,NA,PSC,0,"Data for unvisited plants from Pacheco et al. (2016). PLoS ONE 11: e0166350, Fig. 3.",7.8,0.06,NA,marcoshighquality marcoshighquality marcoshighquality,5.2,Rhodolirion montanum
Rhynchosia.minima,Fabaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Rhynchosia minima
Rivina.humilis,Phytolaccaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Rivina humilis
Romulea.linaresii.ssp.graeca,Iridaceae,5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,5,Romulea linaresii ssp graeca
Rondeletia.calycosa(=Arachnothryx.calycosa),Rubiaceae,2.6,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Arachnothryx calycosa
Rondeletia.torresii(=Arachnothryx.torresii),Rubiaceae,3,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Arachnothryx torresii
Roupala.montana,Proteaceae,4 or more,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,4,Roupala montana
Ruellia.nudiflora,Acanthaceae,0.416666667,NA,0,"Sinanche, Yucatán (Mexico)",21.22368056,-89.62456389,NA,Disturbed open areas,Abdala-Roberts et al. (2014). Pl. Sp. Biol. 29: 25-33.,NA,SC,NA,Longevity data given as geneal information. Coordinates for the first population studied are given. Flower length from Vargas-Mendoza et al. (2015). Rev. Mex. Biodivers. 86: 508-520.,NA,NA,NA,marcoshighquality,0.416666667,Ruellia nudiflora
Rumex acetosa,Polygonaceae,2.2,NA,3,"Motosu, Honshu (Japan)",35.41666667,136.6666667,NA,Fallow field,Matsuhisa & Ushimaru (2019). Amer. J. Bot. 106: 1356-1364.,NA,NA,0,"Apr-May. D species. Data for male flowers. SD: 0.85, n not given.",NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality,2.2,Rumex acetosa
Rumex acetosa,Polygonaceae,3.3,NA,3,NA,NA,NA,NA,NA,Matsuhisa & Ushimaru (2019). Amer. J. Bot. 106: 1356-1364.,NA,NA,0,"Apr-May. D species. Data for female flowers. SD: 1.22, n not given.",NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality,3.3,Rumex acetosa
Rumex acetosa,Polygonaceae,1.9,NA,3,"Nagase, Honshu (Japan)",35.5,136.6333333,NA,Fallow field,Matsuhisa & Ushimaru (2019). Amer. J. Bot. 106: 1356-1364.,NA,NA,0,"Apr-May. D species. Data for male flowers. SD: 0.76, n not given.",NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality,1.9,Rumex acetosa
Rumex acetosa,Polygonaceae,4.1,NA,3,NA,NA,NA,NA,NA,Matsuhisa & Ushimaru (2019). Amer. J. Bot. 106: 1356-1364.,NA,NA,0,"Apr-May. D species. Data for female flowers. SD: 1.20, n not given.",NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality marcoshighquality,4.1,Rumex acetosa
Ruellia.tuberosa,Acanthaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,Fall by noon,marcoshighquality marcoslowquality marcoscommunity,0.5,Ruellia tuberosa
Ruta.graveolens,Rutaceae,9.8,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,9.8,Ruta graveolens
Salacia.crassifolia(=S.multiflora),Celastraceae,2,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Salacia multiflora
Salvia.coccinea,Lamiaceae,11 to 12 h,NA,NA,Colinas de Bello Monte (Venezuela),10.5,-66.88333333,1100,Secondary tropical dry forest,Grases & Ramírez (1998). Rev. Biol. Trop. 46: 1095-1108.,NA,SC,1,Apr-Dec.,NA,NA,Open at night,marcoshighquality,0.479166667,Salvia coccinea
Salvia.miltiorrhiza,Lamiaceae,1.541666667,0.083958333,3,"Experimental field of China West Normal Univ., Sichuan (China)",30.8,106.0666667,270,Temperate meadow and forest,Li et al. (2022). AoB Plants 14: plac004.,NA,NA,1,May-Aug.,NA,NA,NA,marcoshighquality,1.541666667,Salvia miltiorrhiza
Salvia.rhombifolia,Lamiaceae,8 to 11 h,NA,0,Three Lomas around Lima (Peru),-11.36,-77.362,"320, 530, 750",Desert with fog,Cairampoma et al. (2020). Int. J. Plant Sci. 181: 857-870.,NA,partial SI,1,late Jul-early Oct. Coordinates from Lomas de Lachay.,NA,NA,Open at dawn (6:00-7:00),marcoshighquality,0.395833333,Salvia rhombifolia
Salvia.stachydifolia,Lamiaceae,3.97,0.154901628,2,Córdoba (Argentina),NA,NA,NA,Greenhouse,Barrionuevo et al. (2021). J. Plant Ecol. 14: 580-590.,NA,SC (ISI: 0.816),1,NA,NA,NA,NA,marcoshighquality,3.97,Salvia stachydifolia
Salvia.tiliifolia,Lamiaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Salvia tiliifolia
Salvia.triloba(=S.fruticosa),Lamiaceae,2.6,0.19,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,2.6,Salvia fruticosa
Salvia.verbenaca,Lamiaceae,2.3,0.15,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,2.3,Salvia verbenaca
Sanguinaria.canadensis,Papaveraceae,7.8,0.437301306,3,"Gate 24 of Duke Forest, North Carolina (USA)",NA,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,0,Mar-Apr.,7.8,0.625741913,NA,marcoshighquality,7.8,Sanguinaria canadensis
Sarcopoterium.spinosum,Rosaceae,4.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.5,Sarcopoterium spinosum
Sarcostemma.clausum,Apocynaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Sarcostemma clausum
Satureja.thymbra,Lamiaceae,2.4,0.13,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,2.4,Satureja thymbra
Satyria.warszewiczii,Ericaceae,1.3,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.3,Satyria warszewiczii
Saurauia.veraguasensis(=S.montana),Actinidiaceae,2.9,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.9,Saurauia montana
Saxifraga.androsace,Saxifragaceae,8.1,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,8.1,Saxifraga androsace
Saxifraga.bryoides,Saxifragaceae,5,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,5,Saxifraga bryoides
Saxifraga.bryoides,Saxifragaceae,6.8,0.474692883,3,"Stubai Glacier, Innsbruck (Austria)",46.98333333,11.11666667,2880,Alpine,Steinacher & Wagner (2010). Flora 205: 376-387.,NA,NA,NA,NA,11.9,0.492950302,NA,marcoshighquality,6.8,Saxifraga bryoides
Saxifraga.caesia,Saxifragaceae,17.1,0.200831604,3,"Mount Hafelekar, Innsbruck (Austria)",47.7,11.38333333,2334,Alpine,Steinacher & Wagner (2010). Flora 205: 376-387.,NA,NA,NA,NA,17,0.456435465,NA,marcoshighquality,17.1,Saxifraga caesia
Saxifraga.exarata,Saxifragaceae,13.4,0.7,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun-Jul.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,13.4,Saxifraga exarata
Saxifraga.exarata,Saxifragaceae,7,0.7,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,7,Saxifraga exarata
Saxifraga.glabella,Saxifragaceae,7.3,0.3,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoscommunity,7.3,Saxifraga glabella
Saxigraga.moschata(=S.exarata.ssp.moschata),Saxifragaceae,11.6,0.164316767,3,"Mount Hafelekar, Innsbruck (Austria)",47.7,11.38333333,2334,Alpine,Steinacher & Wagner (2010). Flora 205: 376-387.,NA,NA,NA,NA,14.9,0.438178046,NA,marcoshighquality,11.6,Saxifraga exarata ssp moschata
Saxifraga.oppositifolia,Saxifragaceae,6.6,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,6.6,Saxifraga oppositifolia
Saxifraga.oppositifolia,Saxifragaceae,11.7,0.254558441,3,Latnjajaure (Sweden),68.35,18.5,985,Alpine scree,Stenström & Molau (1992). Arct. Alp. Res. 24: 337-343.,NA,SC,NA,Jul.,NA,NA,NA,marcoshighquality,11.7,Saxifraga oppositifolia
Saxifraga.paniculata,Saxifragaceae,16,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,16,Saxifraga paniculata
Scabiosa.atropurpurea,Caprifoliaceae,3.4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.4,Scabiosa atropurpurea
Scaligeria.cretica,Apiaceae,3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Scaligeria cretica
Scandix.australis,Apiaceae,3.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.1,Scandix australis
Scilla.autumnalis(=Prospero.autumnale),Asparagaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Prospero autumnale
Scleria.latifolia,Cyperaceae,8 to 10 h,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,PSC Aut,0,"Maximum longevity given. M species; data for m flowers. Mar-Jun and Sep-Dic (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality marcoshighquality,0.375,Scleria latifolia
Scleria.latifolia,Cyperaceae,3,NA,1,NA,NA,NA,NA,NA,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,NA,0,"Maximum longevity given. M species; data for f flowers. Mar-Jun and Sep-Dic (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality marcoshighquality,3,Scleria latifolia
Sclerolobium.paniculatum,Fabaceae,2,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Sclerolobium paniculatum
Scolymus.hispanicus,Asteraceae,1.7,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.7,Scolymus hispanicus
Scorzonera.cana(=Podospermum.canum),Asteraceae,1.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.1,Podospermum canum
Scorzonera.lanata(=S.czerepanovii),Asteraceae,1.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.1,Scorzonera czerepanovii
Scutellaria.alpina,Lamiaceae,4.5,0.4,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.5,Scutellaria alpina
Sedum.magellense,Crassulaceae,2.5,0.1,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun-Jul.,NA,NA,NA,marcoshighquality marcoscommunity,2.5,Sedum magellense
Senecio.vulgaris,Asteraceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Senecio vulgaris
Sesuvium.portulacastrum,Aizoaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Mangrove swamp,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Sesuvium portulacastrum
Sherardia.arvensis,Rubiaceae,2.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Sherardia arvensis
Sida.acuta,Malvaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Sida acuta
Sida.spinosa,Malvaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Sida spinosa
Sidalcea.candida,Malvaceae,1.73,0.117669681,2,"RMBL, Colorado (USA)",38.96,-106.99,2900,Alpine meadow,Fung & Thomson (2017). J. Poll. Ecol. 21: 86-91.,NA,NA,NA,"Gd species. Only H flowers were studied (Hannah Flung, pers. comm., Sept. 2020)",1.52,0.100019229,NA,marcoshighquality,1.73,Sidalcea candida
Silene.acaulis,Caryophyllaceae,6.5,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,Gd to T species. Data for all flowers.,NA,NA,NA,marcoshighquality,6.5,Silene acaulis
Silene.colorata,Caryophyllaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Silene colorata
Silene.latifolia,Caryophyllaceae,3.32,NA,2,Rutgers University (USA),NA,NA,NA,Greenhouse,Meagher & Delph (2001). Ecol. Evol. Res. 3: 845-860.,NA,NA,NA,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,3.32,Silene latifolia
Silene.latifolia,Caryophyllaceae,2.87,NA,2,NA,NA,NA,NA,NA,Meagher & Delph (2001). Ecol. Evol. Res. 3: 845-860.,NA,NA,NA,D species. Data for females. Data for 0 and 100% pollination.,5.88,NA,NA,marcoshighquality marcoshighquality,2.87,Silene latifolia
Silene.saxifraga,Caryophyllaceae,5.2,0.2,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun-Jul.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,5.2,Silene saxifraga
Silene.saxifraga,Caryophyllaceae,3,0.4,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,3,Silene saxifraga
Silene.virginica,Caryophyllaceae,4.5,NA,NA,"Mountain Lake Biological Station, Virginia (USA)",NA,NA,1330,Mountain alpine,Dudash & Fenster (2001). Amer. J. Bot. 88: 1953-1959.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,4.5,Silene virginica
Silene.vulgaris,Caryophyllaceae,4.7,0.8,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jul-Aug.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,4.7,Silene vulgaris
Silene.vulgaris,Caryophyllaceae,3.7,0.3,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,3.7,Silene vulgaris
Siparuna.chiridota,Siparunaceae,1 to 2,NA,NA,Jatun Sacha (Ecuador),NA,NA,400,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,1.5,Siparuna chiridota
Siparuna.chiridota,Siparunaceae,10 to 14,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,12,Siparuna chiridota
Siparuna.aff.macropetala,Siparunaceae,3 to 4,NA,NA,Jatun Sacha (Ecuador),NA,NA,400,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,3.5,Siparuna aff macropetala
Siparuna.aff.macropetala,Siparunaceae,7 to 10,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,8.5,Siparuna aff macropetala
Siparuna.macrophylla,Siparunaceae,2,NA,NA,Zamora (Ecuador),NA,NA,2000,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,All year. D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,2,Siparuna macrophylla
Siparuna.macrophylla,Siparunaceae,20,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,All year. D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,20,Siparuna macrophylla
Siparuna.neglecta,Siparunaceae,20 to 30,NA,NA,Loja (Ecuador),NA,NA,2200,Secondary growth,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,25,Siparuna neglecta
Siparuna.neglecta,Siparunaceae,30,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,30,Siparuna neglecta
Siparuna.pauciflora,Siparunaceae,3 to 4,NA,NA,Jatun Sacha (Ecuador),NA,NA,400,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,3.5,Siparuna pauciflora
Siparuna.pauciflora,Siparunaceae,10,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,10,Siparuna pauciflora
Siparuna.sarauiifolia,Siparunaceae,8,NA,NA,Zamora (Ecuador),NA,NA,2000,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality,8,Siparuna sarauiifolia
Siparuna.aff.thecaphora,Siparunaceae,2,NA,NA,Añangu (Ecuador),NA,NA,300,Primary and secondary forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,2,Siparuna aff thecaphora
Siparuna.aff.thecaphora,Siparunaceae,3 to 5,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,4,Siparuna aff thecaphora
Siparuna.umbellifera,Siparunaceae,30,NA,NA,Cajanuma (Ecuador),NA,NA,2800,Cloud forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,30,Siparuna umbellifera
Siparuna.umbellifera,Siparunaceae,30,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,30,Siparuna umbellifera
Siphoneugena.densiflora,Myrtaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Siphoneugena densiflora
Sisymbrium.orientale,Brassicaceae,3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Sisymbrium orientale
Smilax.glauca(=S.brasiliense),Smilacaceae,2,NA,1,"Great Swamp, Rhode Island (USA)",41.48333333,-71.53333333,NA,Marsh,Rathcke (1988). J. Ecol. 76: 975-994.,NA,NA,NA,Jun-Jul. Median value provided (mode = 2). D species; data for m flowers.,NA,NA,NA,marcoshighquality,2,Smilax brasiliense
Solanum.americanum,Solanaceae,1.3,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.3,Solanum americanum
Solanum.bahamense,Solanaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Solanum bahamense
