og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Chamomilla.recutita(=Matricaria.chamomilla),Asteraceae,1.2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.2,Matricaria chamomilla
Chimaphila.umbellata,Ericaceae,4 to 5,NA,0,"Wellesley College, Massachusetts (USA)",42.29166667,-71.26666667,NA,Temperate forest,Standley et al. (1988). Rhodora 90: 233-244.,NA,SC Xen,1,Jul.,10 to 12,NA,NA,marcoshighquality,4.5,Chimaphila umbellata
Chloraea.alpina,Orchidaceae,4.1,0.48,3,13 km E from Bariloche (Argentina),NA,NA,NA,Sandy dry slopes,Clayton & Aizen (1996). Evol. Ecol. 10: 653-660.,NA,SC,0,"Austral spring. Extremely pollen-limited. Natural pollination means no pollination in practice, so floral longevity is given for experimentally pollinated (pollinia inserted and removed) and for unvisited (=natural) flowers.",9.6,0.41,NA,marcoshighquality marcoshighquality,4.1,Chloraea alpina
Chloraea.alpina,Orchidaceae,2.89,0.275,3,Bariloche (Argentina),NA,NA,NA,Greenhouse,Clayton & Aizen (1996). Evol. Ecol. 10: 653-660.,NA,NA,NA,"Austral spring. Extremely pollen-limited. Natural pollination means no pollination in practice, so floral longevity is given for experimentally pollinated (pollinia inserted and removed) and for unvisited (=natural) flowers.",7.8,0.31,NA,marcoshighquality marcoshighquality,2.89,Chloraea alpina
Chloris.barbata,Poaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Chloris barbata
Chondrilla.juncea,Asteraceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Chondrilla juncea
Chondrilla.ramosissima,Asteraceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Chondrilla ramosissima
Chrysanthemum.coronarium(=Glebionis.coronaria),Asteraceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Glebionis coronaria
Chrysophyllum.marginatum,Sapotaceae,2,NA,0,"RPPN/UFMS, Matto Grosso do Sul (Brazil)",-20.45,-54.61666667,NA,Cerradao,Sigrist et al. (2021). Plant Sp. Biol. 36: 436-449.,NA,NA,1,Feb-May.,NA,NA,Open before 7:00,marcoshighquality,2,Chrysophyllum marginatum
Cipura.formosa,Iridaceae,7.5 to 8.5 h,NA,1,"P N Chapada dos Veadeiros, Goias (Brazil)",NA,NA,979,Cerrado,Báez-Lizarazo et al. (2021). Bot. J. Linn. Soc. 196: 256-277.,NA,SI (ISI: 0.75 to 1.0),Oil,Feb-Apr.,NA,NA,Open at 6:00,marcoshighquality,0.333333333,Cipura formosa
Cipura.sp.new.species,Iridaceae,5.5 to 6.5 h,NA,1,"Fazenda Piteira, Goias (Brazil)",NA,NA,1120,Cerrado,Báez-Lizarazo et al. (2021). Bot. J. Linn. Soc. 196: 256-277.,NA,SI (ISI: 1.0),Oil,Feb-Apr.,NA,NA,Open at 6:00,marcoshighquality,0.25,Cipura sp new species
