og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_genus,sym_family,sym_species
Hechtia.schottii,Bromeliaceae,0.5,NA,NA,Yucatan (Mexico),20.56666667,-89.91277778,15,Secondary deciduous dry forest,Ramírez Morillo et al. (2008). Rev. Biol. Trop. 56: 279-289.,NA,NA,1,Sep to Mar. D species. Data are valid for both sexes.,NA,NA,Open at morning,marcoshighquality,0.5,Hechtia schottii,NA,NA,Hechtia schottii,species,Bromeliaceae,Hechtia,NA,actinomorphic zygomorphic,NA
Helichrysum.stoechas.ssp.barrelieri,Asteraceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Helichrysum stoechas ssp barrelieri,NA,NA,Helichrysum stoechas subsp. barrelieri,subspecies,Asteraceae,Helichrysum,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Heliconia.acuminata,Heliconiaceae,0.458333333,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,PSC Xen,1,"Maximum longevity given. Dic-Sep (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,Open at dawn,marcoshighquality,0.458333333,Heliconia acuminata,NA,NA,Heliconia acuminata,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.aurea,Heliconiaceae,0.5,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,NA,1,Maximum longevity given.,NA,NA,Open at dawn,marcoshighquality,0.5,Heliconia aurea,NA,NA,Heliconia aurea,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.bihai,Heliconiaceae,0.5,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,NA,1,Maximum longevity given.,NA,NA,Open at dawn,marcoshighquality,0.5,Heliconia bihai,NA,NA,Heliconia bihai,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.monteverdensis,Heliconiaceae,2,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Heliconia monteverdensis,NA,NA,Heliconia monteverdensis,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.psittacorum,Heliconiaceae,Dawn to late afternoon (14:00 to 17:00 depending on the day),NA,0,Arima Valley and Waller Field (Trinidad),NA,NA,NA,Savanna,Dobkin (1984). Oecologia 64: 245-254.,NA,NA,1,"Long, peak in Jul-Oct. Time of abscission taken from Dobkin (1987). Biotropica 19: 90-93.",NA,NA,NA,marcoshighquality,0.5,Heliconia psittacorum,NA,NA,Heliconia psittacorum,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.revoluta,Heliconiaceae,0.5,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SI,1,"Maximum longevity given. Dic-Jun (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,Open at dawn,marcoshighquality,0.5,Heliconia revoluta,NA,NA,Heliconia revoluta,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.aff.tortuosa,Heliconiaceae,Dawn to early evening,NA,0,Arima Valley and Waller Field (Trinidad),NA,NA,NA,Secondary  dry forest,Dobkin (1984). Oecologia 64: 245-254.,NA,NA,1,"Long, peak in Jul-Sep.",NA,NA,NA,marcoshighquality,0.5,Heliconia aff tortuosa,NA,NA,Heliconia tortuosa,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.tortuosa,Heliconiaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Heliconia tortuosa,NA,NA,Heliconia tortuosa,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.trinidatis(=H.hirsuta?),Heliconiaceae,Dawn to late afternoon (15:30 to 16:30 depending on the day),NA,0,Arima Valley and Waller Field (Trinidad),NA,NA,NA,Secondary  dry forest,Dobkin (1984). Oecologia 64: 245-254.,NA,NA,1,All year round. Time of abscission taken from Dobkin (1987). Biotropica 19: 90-93.,NA,NA,NA,marcoshighquality,0.5,Heliconia hirsuta,NA,NA,Heliconia hirsuta,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliconia.wagneriana,Heliconiaceae,Dawn to early evening,NA,0,Arima Valley and Waller Field (Trinidad),NA,NA,NA,Secondary  dry forest,Dobkin (1984). Oecologia 64: 245-254.,NA,NA,1,"Long, Mar-Jun.",NA,NA,NA,marcoshighquality,0.5,Heliconia wagneriana,NA,NA,Heliconia wagneriana,species,Heliconiaceae,Heliconia,zygomorphic,zygomorphic,zygomorphic
Heliotropium.angiospermum,Boraginaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Heliotropium angiospermum,NA,NA,Heliotropium angiospermum,species,Boraginaceae,Heliotropium,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Heliotropium.dolosum,Boraginaceae,2.3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.3,Heliotropium dolosum,NA,NA,Heliotropium dolosum,species,Boraginaceae,Heliotropium,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Heliotropium.europaeum,Boraginaceae,2.2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.2,Heliotropium europaeum,NA,NA,Heliotropium europaeum,species,Boraginaceae,Heliotropium,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Heliotropium.hirsutissimum,Boraginaceae,2.2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.2,Heliotropium hirsutissimum,NA,NA,Heliotropium hirsutissimum,species,Boraginaceae,Heliotropium,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Hemerocallis.citrina,Xanthorrhoeaceae,0.583333333,NA,0,"Hirado Island, Nagasaki (Japan)",NA,NA,NA,Grasslands on rocky shores,Hasegawa et al. (2006). J. Plant Res. 119: 63-68.,NA,NA,NA,Jun-Aug.,NA,NA,"Open at 6:00, diurnal anthesis",marcoshighquality,0.583333333,Hemerocallis citrina,NA,NA,Hemerocallis citrina,species,Asphodelaceae,Hemerocallis,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Hemerocallis.fulva,Xanthorrhoeaceae,0.5,NA,0,"Hirado Island, Nagasaki (Japan)",NA,NA,NA,Grasslands on rocky shores,Hasegawa et al. (2006). J. Plant Res. 119: 63-68.,NA,NA,NA,Jun-Aug.,NA,NA,"Open at 17:00, nocturnal anthesis",marcoshighquality,0.5,Hemerocallis fulva,NA,NA,Hemerocallis fulva,species,Asphodelaceae,Hemerocallis,actinomorphic zygomorphic,actinomorphic zygomorphic,zygomorphic
Hepatica.americana,Ranunculaceae,10.2,0.21978307,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",NA,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,0,Feb-Apr.,10.8,0.324285714,NA,marcoshighquality,10.2,Hepatica americana,NA,NA,Hepatica americana,species,Ranunculaceae,Hepatica,actinomorphic,actinomorphic zygomorphic,actinomorphic
Herbertia.pulchella,Iridaceae,12 to 13 h,NA,1,"P N Morro do Osso, Rio Grande do Sul (Brazil)",NA,NA,94,Pampa,Báez-Lizarazo et al. (2021). Bot. J. Linn. Soc. 196: 256-277.,NA,SI (ISI: 1.0),Oil,Oct-Dec.,NA,NA,Open at 6:30,marcoshighquality,0.520833333,Herbertia pulchella,NA,NA,Herbertia pulchella,species,Iridaceae,Herbertia,actinomorphic,actinomorphic zygomorphic,NA
Heterotaxis.superflua,Orchidaceae,14,NA,NA,"RB Campina, Manaus (Brazil)",-2.489444444,-60.17166667,NA,Campina,Krahl et al. (2019). Plant Syst. Evol. 305: 281-291.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,14,Heterotaxis superflua,NA,NA,Maxillaria superflua,species,Orchidaceae,Maxillaria,NA,actinomorphic zygomorphic,NA
Hibiscus.aponeurus,Malvaceae,0.416666667,NA,NA,Mpala Research Centre (Kenya),0.283333333,37.86666667,NA,Savannah woodland,Ruiz-Guajardo et al. (2018) J Poll Ecol 22: 21-34.,NA,SC,NA,NA,NA,NA,Open at morning,marcoshighquality,0.416666667,Hibiscus aponeurus,NA,NA,Hibiscus aponeurus,species,Malvaceae,Hibiscus,actinomorphic,actinomorphic zygomorphic,NA
Hibiscus.flavifolius,Malvaceae,0.416666667,NA,NA,Mpala Research Centre (Kenya),0.283333333,37.86666667,NA,Savannah woodland,Ruiz-Guajardo et al. (2018) J Poll Ecol 22: 21-34.,NA,SC,NA,NA,NA,NA,Open at morning,marcoshighquality,0.416666667,Hibiscus flavifolius,NA,NA,Hibiscus flavifolius,species,Malvaceae,Hibiscus,actinomorphic,actinomorphic zygomorphic,NA
Hirschfeldia.incana,Brassicaceae,3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Hirschfeldia incana,NA,NA,Hirschfeldia incana,species,Brassicaceae,Hirschfeldia,actinomorphic,actinomorphic zygomorphic,actinomorphic
Hydnora.visseri,Hydnoraceae,5 to 7,NA,0,Farm Kanas (Namibia),NA,NA,NA,Nama-Karoo vegetation,Bolin et al. (2011). Syst. Bot. 36: 255-260.,NA,NA,NA,Oct-Jan.,NA,NA,NA,marcoshighquality,6,Hydnora visseri,NA,NA,Hydnora visseri,species,Aristolochiaceae,Hydnora,actinomorphic,actinomorphic zygomorphic,actinomorphic
Hymenaea.stigonocarpa,Fabaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Hymenaea stigonocarpa,NA,NA,Hymenaea stigonocarpa,species,Fabaceae,Hymenaea,actinomorphic,actinomorphic zygomorphic,NA
Hymenocarpos.circinnatus(=Anthyllis.circinnata),Brassicaceae,3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Anthyllis circinnata,NA,NA,Anthyllis circinnata,species,Fabaceae,Anthyllis,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Hypericum.empetrifolium,Hypericaceae,2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Hypericum empetrifolium,NA,NA,Hypericum empetrifolium,species,Hypericaceae,Hypericum,actinomorphic,actinomorphic,actinomorphic
Hypericum.triquetrifolium,Hypericaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Hypericum triquetrifolium,NA,NA,Hypericum triquetrifolium,species,Hypericaceae,Hypericum,actinomorphic,actinomorphic,actinomorphic
Hypochaeris.achyrophorus,Asteraceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Hypochaeris achyrophorus,NA,NA,Hypochaeris achyrophorus,species,Asteraceae,Hypochaeris,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Hypoxis.aurea,Hypoxidaceae,2,NA,NA,"Yulong Mountain Range, Yunnan (China)",27.00277778,100.2013889,2725,Subalpine meadow,Ren et al. (2019). Plant Syst. Evol. 305: 115-126.,NA,NA,NA,NA,NA,NA,Closed at night,marcoshighquality,2,Hypoxis aurea,NA,NA,Hypoxis aurea,species,Hypoxidaceae,Hypoxis,actinomorphic,actinomorphic,actinomorphic
Hypoxis.hirsuta,Hypoxidaceae,2,NA,NA,"River State Park, Missouri (USA)",39.05108889,-90.92911111,NA,Open Quercus woodland,Ren et al. (2019). Plant Syst. Evol. 305: 115-126.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,2,Hypoxis hirsuta,NA,NA,Hypoxis hirsuta,species,Hypoxidaceae,Hypoxis,actinomorphic,actinomorphic,actinomorphic
Hyptis.pectinata,Lamiaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Hyptis pectinata,NA,NA,Hyptis pectinata,species,Lamiaceae,Hyptis,actinomorphic zygomorphic,actinomorphic zygomorphic,zygomorphic
Iberis.sempervirens,Brassicaceae,9.2,0.8,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow and scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoscommunity,9.2,Iberis sempervirens,NA,NA,Iberis sempervirens,species,Brassicaceae,Iberis,zygomorphic,actinomorphic zygomorphic,zygomorphic
Ilex.glabra,Aquifoliaceae,1,NA,1,"Great Swamp, Rhode Island (USA)",41.48333333,-71.53333333,NA,Marsh,Rathcke (1988). J. Ecol. 76: 975-994.,NA,NA,NA,Jun-Jul. Median value provided (mode = 1). D species; data for m flowers.,NA,NA,NA,marcoshighquality marcoshighquality,1,Ilex glabra,NA,NA,Ilex glabra,species,Aquifoliaceae,Ilex,actinomorphic,actinomorphic,actinomorphic
Ilex.glabra,Aquifoliaceae,2,NA,1,NA,NA,NA,NA,NA,Rathcke (1988). J. Ecol. 76: 975-994.,NA,NA,NA,"Jun-Jul. Median value provided (mode = 2 for natural pollinated, 5 for unpollinated flowers). D species; data for f flowers.",5,NA,NA,marcoshighquality marcoshighquality,2,Ilex glabra,NA,NA,Ilex glabra,species,Aquifoliaceae,Ilex,actinomorphic,actinomorphic,actinomorphic
Ilex.opaca,Aquifoliaceae,1,NA,1,"Great Swamp, Rhode Island (USA)",41.48333333,-71.53333333,NA,Marsh,Rathcke (1988). J. Ecol. 76: 975-994.,NA,NA,NA,Jun. Median value provided (mode = 1). D species; data for m flowers.,NA,NA,NA,marcoshighquality marcoshighquality,1,Ilex opaca,NA,NA,Ilex opaca,species,Aquifoliaceae,Ilex,actinomorphic,actinomorphic,actinomorphic
Ilex.opaca,Aquifoliaceae,3,NA,1,NA,NA,NA,NA,NA,Rathcke (1988). J. Ecol. 76: 975-994.,NA,NA,NA,Jun. Median value provided (mode = 2). D species; data for f flowers.,NA,NA,NA,marcoshighquality marcoshighquality,3,Ilex opaca,NA,NA,Ilex opaca,species,Aquifoliaceae,Ilex,actinomorphic,actinomorphic,actinomorphic
Impatiens.hypophylla.var.hypophylla,Balsaminaceae,2.36,0.14,3,"Oike, Kyushu (Japan)",33.13333333,131.2833333,NA,Temperate forest,Sato (2002). Amer. J. Bot. 89: 263-269.,NA,SC Xen,1,Aug-Nov.,NA,NA,NA,marcoshighquality,2.36,Impatiens hypophylla var hypophylla,NA,NA,Impatiens hypophylla var. hypophylla,variety,Balsaminaceae,Impatiens,zygomorphic,zygomorphic,zygomorphic
Impatiens.hypophylla.var.microhypophylla,Balsaminaceae,1.32,0.1,3,"Mt. Hane, Kyushu (Japan)",33.25,131.1166667,NA,Temperate forest,Sato (2002). Amer. J. Bot. 89: 263-269.,NA,SC Sel,NA,Aug-Nov.,NA,NA,NA,marcoshighquality,1.32,Impatiens hypophylla var microhypophylla,NA,NA,Impatiens hypophylla var. microhypophylla,variety,Balsaminaceae,Impatiens,zygomorphic,zygomorphic,zygomorphic
Incarvillea.mairei,Bignoniaceae,7.4,1.23,3,"Yulong Snow Mountain, Yunnan (China) - GHB",27.05,100.25,3290,Alpine meadow,Ai et al. (2013). BMC Plant Biol. 13: 195.,NA,SC Xen,NA,Early spring.,9.45,1.36,NA,marcoshighquality marcoshighquality,7.4,Incarvillea mairei,NA,NA,Incarvillea mairei,species,Bignoniaceae,Incarvillea,zygomorphic,actinomorphic zygomorphic,zygomorphic
Incarvillea.mairei,Bignoniaceae,9.1,1.68,3,"Yulong Snow Mountain, Yunnan (China) - GML",27.08333333,100.2166667,4000,NA,Ai et al. (2013). BMC Plant Biol. 13: 195.,NA,SC Xen,NA,Early spring.,13.5,1.93,NA,marcoshighquality marcoshighquality,9.1,Incarvillea mairei,NA,NA,Incarvillea mairei,species,Bignoniaceae,Incarvillea,zygomorphic,actinomorphic zygomorphic,zygomorphic
Indigofera.tinctoria,Fabaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Indigofera tinctoria,NA,NA,Indigofera tinctoria,species,Fabaceae,Indigofera,zygomorphic,actinomorphic zygomorphic,zygomorphic
Inga.brenesii(=I.sierrae),Fabaceae,8 to 10 h,NA,1,Cordillera de Tilaran (Costa Rica),NA,NA,1320 to 1460,Montane tropical forest,Koptur (1983). Syst. Bot. 8: 354-368.,NA,NA,1,All year round; peak Oct-Nov.,NA,NA,Continuous opening during the day,marcoshighquality,0.375,Inga sierrae,NA,NA,Inga sierrae,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.densiflora,Fabaceae,12 to 20 h,NA,1,Cordillera de Tilaran (Costa Rica),NA,NA,1460 to 1600,Montane tropical forest,Koptur (1983). Syst. Bot. 8: 354-368.,NA,NA,1,Oct-Mar.,NA,NA,Open at 6:00 and at 16:00,marcoshighquality,0.666666667,Inga densiflora,NA,NA,Inga densiflora,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.ingoides,Fabaceae,0.541666667,NA,NA,"Mata de Coimbra, Agaloas (Brazil)",-9,-35.86666667,NA,Tropical rain forest,Cruz-Neto et al. (2015). Bot. J. Linn. Soc. 177: 230-245.,NA,SI,1,NA,NA,NA,NA,marcoshighquality,0.541666667,Inga ingoides,NA,NA,Inga ingoides,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.longispica,Fabaceae,8 to 12 h,NA,1,Cordillera de Tilaran (Costa Rica),NA,NA,1520 to 1600,Montane tropical forest,Koptur (1983). Syst. Bot. 8: 354-368.,NA,NA,1,May-Jun and Sep.,NA,NA,Open from 14:00 to 17:00,marcoshighquality,0.416666667,Inga longispica,NA,NA,Inga longispica,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.mortoniana,Fabaceae,19 to 21 h,NA,1,Cordillera de Tilaran (Costa Rica),NA,NA,1460 to 1520,Montane tropical forest,Koptur (1983). Syst. Bot. 8: 354-368.,NA,NA,1,Jun-Dec.,NA,NA,Open from 10:00 to 12:00,marcoshighquality,0.833333333,Inga mortoniana,NA,NA,Inga mortoniana,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.oesterdiana,Fabaceae,5 to 7 h,NA,1,Cordillera de Tilaran (Costa Rica),NA,NA,1320 to 1460,Montane tropical forest,Koptur (1983). Syst. Bot. 8: 354-368.,NA,NA,1,Sep-Jan.,NA,NA,Open from 15:00 to 16:30,marcoshighquality,0.25,Inga oesterdiana,NA,NA,Inga oerstediana,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.punctata,Fabaceae,7 to 12 h,NA,1,Cordillera de Tilaran (Costa Rica),NA,NA,1320 to 1460,Montane tropical forest,Koptur (1983). Syst. Bot. 8: 354-368.,NA,NA,1,Dec-May.,NA,NA,Open at 16:00 and 8:00,marcoshighquality,0.395833333,Inga punctata,NA,NA,Inga punctata,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.quaternata(=I.nobilis.ssp.quaternata),Fabaceae,9 to 12 h,NA,1,Cordillera de Tilaran (Costa Rica),NA,NA,1320 to 1520,Montane tropical forest,Koptur (1983). Syst. Bot. 8: 354-368.,NA,NA,1,May-Jul and Oct.,NA,NA,Open from 2:00 and 6:00,marcoshighquality,0.4375,Inga nobilis ssp quaternata,NA,NA,Inga nobilis subsp. quaternata,subspecies,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.sessilis,Fabaceae,1,NA,NA,"Nücleo Santa Virginia, Serra do Mar SP, Sao Paulo (Brazil)",-23.34166667,-45.11666667,850 to 1200,Tropical rain forest,Amorim et al. (2013). Plant Biol. 15: 317-327.,NA,SI (0.05),1,All year.,NA,NA,Open in the morning,marcoshighquality,1,Inga sessilis,NA,NA,Inga sessilis,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.striata,Fabaceae,11 to 12 h,NA,NA,"Mata de Coimbra, Agaloas (Brazil)",-9,-35.86666667,NA,Tropical rain forest,Cruz-Neto et al. (2015). Bot. J. Linn. Soc. 177: 230-245.,NA,SI,1,NA,NA,NA,NA,marcoshighquality,0.479166667,Inga striata,NA,NA,Inga striata,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Inga.vera.subsp.affinis,Fabaceae,0.416666667,NA,NA,"Mata de Coimbra, Agaloas (Brazil)",-9,-35.86666667,NA,Tropical rain forest,Cruz-Neto et al. (2015). Bot. J. Linn. Soc. 177: 230-245.,NA,SI,1,NA,NA,NA,NA,marcoshighquality,0.416666667,Inga vera subsp affinis,NA,NA,Inga affinis,species,Fabaceae,Inga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Ipomoea.acuminata,Convolvulaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Ipomoea acuminata,NA,NA,Ipomoea indica,species,Convolvulaceae,Ipomoea,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Ipomoea.tiliacea,Convolvulaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Ipomoea tiliacea,NA,NA,Ipomoea tiliacea,species,Convolvulaceae,Ipomoea,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Ipomoea.triloba,Convolvulaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Ipomoea triloba,NA,NA,Ipomoea triloba,species,Convolvulaceae,Ipomoea,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Ipomopsis.aggregata,Polemoniaceae,4.6,0.897665623,2,"RMBL, Colorado (USA)",38.96,-106.99,2900,Alpine meadow,Fung & Thomson (2017). J. Poll. Ecol. 21: 86-91.,NA,NA,NA,NA,2.08,0.34394767,NA,marcoshighquality,4.6,Ipomopsis aggregata,NA,NA,Ipomopsis aggregata,species,Polemoniaceae,Ipomopsis,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Iris.cristata,Iridaceae,3.1,0.132680694,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",NA,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,1,Apr.,NA,NA,NA,marcoshighquality,3.1,Iris cristata,NA,NA,Iris cristata,species,Iridaceae,Iris,actinomorphic,actinomorphic zygomorphic,actinomorphic
Iris.dichotoma,Iridaceae,6 to 7.5 h,NA,NA,"Experimental garden, CERCF, Beijing (China)",40.15722222,116.4527778,NA,Experimental garden,Liu et al. (2020). Biol. J. Linn. Soc. 130: 447-457.,NA,SC Xen (0.33),1,Jul-Aug.,NA,NA,Open in the afternoon,marcoshighquality,0.28125,Iris dichotoma,NA,NA,Iris dichotoma,species,Iridaceae,Iris,actinomorphic,actinomorphic zygomorphic,NA
Iris.domestica,Iridaceae,10 to 12 h,NA,NA,"Experimental garden, CERCF, Beijing (China)",40.15722222,116.4527778,NA,Experimental garden,Liu et al. (2020). Biol. J. Linn. Soc. 130: 447-457.,NA,SC Sel (-0.06),1,Jul-Aug.,NA,NA,Open at dawn,marcoshighquality,0.458333333,Iris domestica,NA,NA,Iris domestica,species,Iridaceae,Iris,actinomorphic,actinomorphic zygomorphic,actinomorphic
Iris.pumila.ssp.attica,Iridaceae,4.7,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.7,Iris pumila ssp attica,NA,NA,Iris pumila subsp. attica,subspecies,Iridaceae,Iris,actinomorphic,actinomorphic zygomorphic,NA
Isolona.campanulata,Annonaceae,2 to 3,NA,NA,"Nguti, Banyang Mbo WS (Cameroon)",5.35,9.641666667,NA,Tropical rain forest,Gottsberger et al. (2011). Flora 206: 498-510.,NA,NA,NA,Coordinates are the middle point of the range provided.,NA,NA,NA,marcoshighquality,2.5,Isolona campanulata,NA,NA,Isolona campanulata,species,Annonaceae,Isolona,actinomorphic,actinomorphic zygomorphic,actinomorphic
