ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings
1245,Michelia crassipes,1,237903,Michelia crassipes,1,species,,,NA,Y.W.Law,Magnoliaceae,Michelia,Michelia,1,crassipes,crassipes,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:126695,,Y,Synonym,Magnolia figo var. crassipes,Magnolia figo,(Y.W.Law) Figlar & Noot.,458545,variety,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252923,,Magnoliaceae,1,1,wcvp,0
1246,Miconia stephananthera,1,1065318,Miconia stephananthera,1,species,,,NA,Ule,Melastomataceae,Miconia,Miconia,1,stephananthera,stephananthera,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3021010,,Y,Accepted,Miconia stephananthera,Miconia stephananthera,Ule,1065318,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3021010,,Melastomataceae,1,1,wcvp,0
1247,Microtis unifolia,1,1780440,Microtis unifolia,1,species,,,NA,(G.Forst.) Rchb.f.,Orchidaceae,Microtis,Microtis,1,unifolia,unifolia,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:128219,,Y,Accepted,Microtis unifolia,Microtis unifolia,(G.Forst.) Rchb.f.,1780440,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:128219,,Orchidaceae,1,1,wcvp,0
1248,Microula sikkimensis,1,1757411,Microula sikkimensis,1,species,,,NA,(C.B.Clarke) Hemsl.,Boraginaceae,Microula,Microula,1,sikkimensis,sikkimensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2357811,,Y,Accepted,Microula sikkimensis,Microula sikkimensis,(C.B.Clarke) Hemsl.,1757411,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2357811,,Boraginaceae,1,1,wcvp,0
1249,Mimosa camporum,1,172320,Mimosa camporum,1,species,,,NA,Benth.,Fabaceae,Mimosa,Mimosa,1,camporum,camporum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2374679,,Y,Accepted,Mimosa camporum,Mimosa camporum,Benth.,172320,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2374679,,Fabaceae,1,1,wcvp,2
1250,Moneses uniflora,1,370927,Moneses uniflora,1,species,,,NA,(L.) A.Gray,Ericaceae,Moneses,Moneses,1,uniflora,uniflora,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2372127,,Y,Accepted,Moneses uniflora,Moneses uniflora,(L.) A.Gray,370927,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2372127,,Ericaceae,1,1,wcvp,0
1251,Montrichardia arborescens,1,1736045,Montrichardia arborescens,1,species,,,NA,(L.) Schott,Araceae,Montrichardia,Montrichardia,1,arborescens,arborescens,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:129694,,Y,Accepted,Montrichardia arborescens,Montrichardia arborescens,(L.) Schott,1736045,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:129694,,Araceae,1,1,wcvp,0
1252,Moussonia deppeana,1,368138,Moussonia deppeana,1,species,,,NA,(Schltdl. & Cham.) Klotzsch ex Hanst.,Gesneriaceae,Moussonia,Moussonia,1,deppeana,deppeana,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2366763,,Y,Accepted,Moussonia deppeana,Moussonia deppeana,(Schltdl. & Cham.) Klotzsch ex Hanst.,368138,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2366763,,Gesneriaceae,1,1,wcvp,0
1253,Muehlenbeckia axillaris,1,1726354,Muehlenbeckia axillaris,1,species,,,NA,(Hook.f.) Endl.,Polygonaceae,Muehlenbeckia,Muehlenbeckia,1,axillaris,axillaris,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2508886,,Y,Accepted,Muehlenbeckia axillaris,Muehlenbeckia axillaris,(Hook.f.) Endl.,1726354,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2508886,,Polygonaceae,1,1,wcvp,0
1254,Muntingia calabura,1,445455,Muntingia calabura,1,species,,,NA,L.,Muntingiaceae,Muntingia,Muntingia,1,calabura,calabura,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2507614,,Y,Accepted,Muntingia calabura,Muntingia calabura,L.,445455,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2507614,,Muntingiaceae,1,1,wcvp,0
