og_species,sym_all,sources
Acacia wanyu,actinomorphic,stephens2021
Acacia wattsiana,actinomorphic,stephens2021
Acacia xiphophylla,actinomorphic,stephens2021
Acacia yorkrakinensis,actinomorphic,stephens2021
Acaena echinata,actinomorphic,stephens2021
Acaena novae-zelandiae,actinomorphic,stephens2021
Acaena pinn,actinomorphic,yoderetal2020
Acaena pinnatifida,actinomorphic,yoderetal2020
Acaena x ovina,actinomorphic,stephens2021
Acalypha ambigua,actinomorphic,2023TRY_350
Acalypha brachiata,actinomorphic,2023TRY_350
Acalypha chirindica,zygomorphic,2023TRY_350
Acalypha clutioides,actinomorphic,2023TRY_350
Acalypha crenata,actinomorphic,2023TRY_350
Acalypha cupricola,actinomorphic,2023TRY_350
Acalypha ornata,actinomorphic,2023TRY_350
Acalypha paniculata,actinomorphic,2023TRY_350
Acalypha peduncularis,actinomorphic,2023TRY_350
Acalypha psilostachya,actinomorphic,2023TRY_350
Acalypha segetalis,actinomorphic,2023TRY_350
Acampe pachyglossa,zygomorphic,2023TRY_350
Acampe praemorsa,zygomorphic,2023TRY_350
Acampe rigida,zygomorphic,jolyandschoen2021
Acanthocarpus preissii,actinomorphic,stephens2021
Acanthocarpus sp. Cooloomia (S.D.Hopper 3301),actinomorphic,stephens2021
Acanthochlamys bracteata,actinomorphic,jolyandschoen2021
Acanthogilia gloriosa,actinomorphic,jolyandschoen2021
Acanthopsis disperma,zygomorphic,2023TRY_350
Acanthosicyos horridus,actinomorphic,2023TRY_350
Acanthosicyos naudinianus,actinomorphic,2023TRY_350
Acanthospermum glabratum,actinomorphic,2023TRY_350
Acanthospermum hispidum,actinomorphic,2023TRY_350
Acanthostachys strobilaceae,actinomorphic,yoderetal2020
Acanthus mollis,zygomorphic,jolyandschoen2021
Acanthus montanus,zygomorphic,jolyandschoen2021 2023TRY_350
Acanthus polystachius,zygomorphic,2023TRY_350
Acanthus spinosus,zygomorphic,jolyandschoen2021 yoderetal2020
Acanthus ueleensis,zygomorphic,2023TRY_350
Acer carpinifolium,actinomorphic,yoderetal2020
Acer insulae,actinomorphic,yoderetal2020
Acer japonicum,actinomorphic,yoderetal2020
Acer negundo,actinomorphic,yoderetal2020
Acer rufinerve,actinomorphic,yoderetal2020
Acer saccharinum,actinomorphic,yoderetal2020
Acer shirasawanum,actinomorphic,yoderetal2020
Acer ukurunduense,actinomorphic,yoderetal2020
Acharia tragodes,actinomorphic,jolyandschoen2021
Achillea alpina,actinomorphic,yoderetal2020
Achillea atrata,actinomorphic,jolyandschoen2021
Achillea erba-rotta,actinomorphic,jolyandschoen2021
Achillea fragrantissima,actinomorphic,2023TRY_350
Achillea macrophylla,actinomorphic,jolyandschoen2021
Achillea millefolium,actinomorphic zygomorphic,jolyandschoen2021 yoderetal2020 2023TRY_350
Achillea nana,actinomorphic,jolyandschoen2021
Achillea ptarmica,actinomorphic,jolyandschoen2021
Achimenes candida,zygomorphic,jolyandschoen2021
Achimenes cettoana,zygomorphic,jolyandschoen2021
Achimenes misera,zygomorphic,jolyandschoen2021
Achyranthes aspera,actinomorphic,stephens2021 2023TRY_350
Achyranthes bidentata,actinomorphic,yoderetal2020
Achyrocline satureoides,actinomorphic,yoderetal2020
Achyrospermum cryptanthum,zygomorphic,2023TRY_350
Achyrospermum laterale,zygomorphic,2023TRY_350
Acianthus caudatus,zygomorphic,stephens2021
Acianthus pusillus,zygomorphic,stephens2021
Acicarpha tribuloides,actinomorphic,jolyandschoen2021
Aciphylla glacialis,actinomorphic,yoderetal2020
Aciphylla scott-thompsoni,actinomorphic,yoderetal2020
Aciphylla simplicifolia,actinomorphic,yoderetal2020
Aciphylla subflavellata,actinomorphic,yoderetal2020
Acleisanthes acutifolia,actinomorphic,jolyandschoen2021
Acleisanthes angustifolia,actinomorphic,jolyandschoen2021
Acleisanthes anisophylla,actinomorphic,jolyandschoen2021
Acleisanthes chenopodioides,actinomorphic,jolyandschoen2021
Acleisanthes crassifolia,actinomorphic,jolyandschoen2021
Acleisanthes diffusa,actinomorphic,jolyandschoen2021
Acleisanthes lanceolata,actinomorphic,jolyandschoen2021
Acleisanthes longiflora,actinomorphic,jolyandschoen2021
Acleisanthes nana,actinomorphic,jolyandschoen2021
Acleisanthes obtusa,actinomorphic,jolyandschoen2021
Acleisanthes palmeri,actinomorphic,jolyandschoen2021
Acleisanthes parvifolia,actinomorphic,jolyandschoen2021
Acleisanthes purpusiana,actinomorphic,jolyandschoen2021
Acleisanthes somalensis,actinomorphic,jolyandschoen2021
Acleisanthes undulata,actinomorphic,jolyandschoen2021
Acleisanthes wrightii,actinomorphic,jolyandschoen2021
Acmadenia obtusata,actinomorphic,2023TRY_350
Acmella uliginosa,actinomorphic zygomorphic,2023TRY_350
Acnistus arborescens,actinomorphic,jolyandschoen2021
Acokanthera oppositifolia,actinomorphic,2023TRY_350
Aconitum columbianum,actinomorphic,yoderetal2020
Aconitum japonicum,actinomorphic,yoderetal2020
Aconitum japonicum montanum,actinomorphic,yoderetal2020
Aconitum napellus,zygomorphic,jolyandschoen2021
Aconitum senanense,actinomorphic,yoderetal2020
Acorus calamus,actinomorphic,jolyandschoen2021
Acorus gramineus,actinomorphic,jolyandschoen2021
Acourtia runcinata,actinomorphic,jolyandschoen2021
Acridocarpus chevalieri,actinomorphic,2023TRY_350
Acridocarpus longifolius,zygomorphic,2023TRY_350
Acridocarpus monodii,actinomorphic,2023TRY_350
Acridocarpus natalitius,zygomorphic,jolyandschoen2021
Acridocarpus smeathmanii,actinomorphic,2023TRY_350
Acridocarpus spectabilis,actinomorphic,2023TRY_350
Acridocarpus zanzibaricus,actinomorphic,2023TRY_350
Acrolophia capensis,zygomorphic,2023TRY_350
Acrolophia micrantha,zygomorphic,2023TRY_350
Acrothamnus hookeri,actinomorphic,stephens2021
Acrotome fleckii,zygomorphic,2023TRY_350
Acrotome inflata,zygomorphic,2023TRY_350
Acrotome pallescens,zygomorphic,2023TRY_350
Acrotriche affinis,actinomorphic,stephens2021
Acrotriche cordata,actinomorphic,stephens2021
Acrotriche depressa,actinomorphic,stephens2021
Acrotriche fasciculiflora,actinomorphic,stephens2021
Acrotriche halmaturina,actinomorphic,stephens2021
Acrotriche patula,actinomorphic,stephens2021
Acrotriche rigida,actinomorphic,stephens2021
Acrotriche serrulata,actinomorphic,stephens2021
Actea alba,actinomorphic,yoderetal2020
Actinidia arguta,actinomorphic,yoderetal2020
Actinidia chinensis,actinomorphic,jolyandschoen2021
Actinidia chrysantha,actinomorphic,jolyandschoen2021
Actinidia rufa,actinomorphic,yoderetal2020
Actinobole condensatum,actinomorphic,stephens2021
Actinobole oldfieldianum,actinomorphic,stephens2021
Actinobole uliginosum,actinomorphic,stephens2021
Actinomeris alternifolia,actinomorphic,yoderetal2020
Actinotus helianthi,actinomorphic,stephens2021
Actinotus minor,actinomorphic,stephens2021
Adansonia digitata,actinomorphic,2023TRY_350
Adansonia gregorii,actinomorphic,stephens2021
Adenandra gummifera,actinomorphic,2023TRY_350
Adenandra marginata,actinomorphic,2023TRY_350
Adenandra obtusata,actinomorphic,2023TRY_350
Adenandra uniflora,actinomorphic,2023TRY_350
Adenandra villosa,actinomorphic,2023TRY_350
Adenanthera abrosperma,actinomorphic,stephens2021
Adenanthos cygnorum,zygomorphic,stephens2021
Adenanthos sericeus,zygomorphic,jolyandschoen2021
Adenia cissampeloides,actinomorphic,2023TRY_350
Adenia digitata,actinomorphic,2023TRY_350
Adenia erecta,actinomorphic,2023TRY_350
Adenia globosa,zygomorphic,2023TRY_350
