og_species,sym_all,sources
Lippia lanceolata,actinomorphic,yoderetal2020
Lippia multiflora,actinomorphic,2023TRY_350
Lippia nodiflora,actinomorphic,yoderetal2020
Lippia pohliana,actinomorphic,yoderetal2020
Lippia praecox,zygomorphic,2023TRY_350
Lippia rosmarinifolia,actinomorphic,yoderetal2020
Liriodendron chinense,actinomorphic,jolyandschoen2021
Liriope platyphylla,actinomorphic,yoderetal2020
Lissanthe strigosa,actinomorphic,stephens2021
Lissocarpa benthamii,actinomorphic,jolyandschoen2021
Litchi chinensis,actinomorphic,jolyandschoen2021
Lithomyrtus obtusa,actinomorphic,stephens2021
Lithops lesliei,actinomorphic,2023TRY_350
Lithops optica,actinomorphic,2023TRY_350
Lithops ruschiorum,actinomorphic,2023TRY_350
Lithospermum afromontanum,actinomorphic,2023TRY_350
Lithospermum calycosum,actinomorphic,jolyandschoen2021
Lithospermum canescens,actinomorphic,yoderetal2020
Lithospermum caroliniense,actinomorphic,jolyandschoen2021
Lithospermum confine,actinomorphic,jolyandschoen2021
Lithospermum incisum,actinomorphic,jolyandschoen2021
Lithospermum incisuro,actinomorphic,jolyandschoen2021
Lithospermum mirabile,actinomorphic,jolyandschoen2021
Lithospermum officinale,actinomorphic,jolyandschoen2021
Lithospermum papillosum,actinomorphic,2023TRY_350
Lithospermum parksii,actinomorphic,jolyandschoen2021
Litsea citriodora,actinomorphic,yoderetal2020
Litsea japonica,actinomorphic,yoderetal2020
Livistona alfredii,actinomorphic,stephens2021
Livistona humilis,actinomorphic,stephens2021
Livistona inermis,actinomorphic,stephens2021
Loasa caespitosa,actinomorphic,yoderetal2020
Loasa heterophylla,actinomorphic,yoderetal2020
Loasa incurva,actinomorphic,yoderetal2020
Loasa sigmoidea,actinomorphic,yoderetal2020
Lobelia angulata,zygomorphic,jolyandschoen2021
Lobelia baumannii,zygomorphic,2023TRY_350
Lobelia cardinalis,actinomorphic zygomorphic,jolyandschoen2021 yoderetal2020
Lobelia cardinalis x siphilitica,actinomorphic,yoderetal2020
Lobelia columnaris,zygomorphic,2023TRY_350
Lobelia coronopifolia,zygomorphic,2023TRY_319
Lobelia deckenii,zygomorphic,jolyandschoen2021 2023TRY_350
Lobelia deckenii subsp. deckenii,zygomorphic,2023TRY_350
Lobelia deckenii subsp. incipiens,zygomorphic,2023TRY_350
Lobelia dioica,zygomorphic,stephens2021
Lobelia dortmanna,zygomorphic,jolyandschoen2021
Lobelia erinus,zygomorphic,jolyandschoen2021 2023TRY_350
Lobelia exilis,zygomorphic,2023TRY_350
Lobelia flaccida,zygomorphic,2023TRY_350
Lobelia giberroa,zygomorphic,2023TRY_350
Lobelia gregoriana,zygomorphic,jolyandschoen2021 2023TRY_350
Lobelia holstii,zygomorphic,2023TRY_350
Lobelia inflata,actinomorphic zygomorphic,jolyandschoen2021 yoderetal2020
Lobelia jasionoides,zygomorphic,2023TRY_350
Lobelia kalmii,zygomorphic,jolyandschoen2021
Lobelia laxiflora,zygomorphic,jolyandschoen2021
Lobelia leptostachys,zygomorphic,yoderetal2020
Lobelia mildbraedii,zygomorphic,2023TRY_350
Lobelia pinifolia,zygomorphic,2023TRY_350
Lobelia rhombifolia,zygomorphic,stephens2021
Lobelia rhynchopetalum,zygomorphic,2023TRY_350
Lobelia scebelii,zygomorphic,2023TRY_350
Lobelia siphilitica,actinomorphic zygomorphic,jolyandschoen2021 yoderetal2020
Lobelia sp,zygomorphic,2023TRY_319
Lobelia spicata,actinomorphic,yoderetal2020
Lobelia stricklandiae,zygomorphic,2023TRY_350
Lobelia surrepens,zygomorphic,stephens2021
Lobelia telekii,zygomorphic,jolyandschoen2021 2023TRY_350
Lobelia tenuior,zygomorphic,jolyandschoen2021
Lobelia tomentosa,zygomorphic,2023TRY_350
Lobelia trullifolia,zygomorphic,2023TRY_350
Lobelia urens,zygomorphic,jolyandschoen2021
Lobelia zeylanica,zygomorphic,jolyandschoen2021
Lobostemon fruticosus,actinomorphic,jolyandschoen2021
Lobostemon glaucophyllus,actinomorphic zygomorphic,2023TRY_350
Lobostemon lucidus,actinomorphic,2023TRY_350
Lobostemon sanguineus,actinomorphic zygomorphic,2023TRY_350
Lobostemon trigonus,actinomorphic zygomorphic,2023TRY_350
Lobularia maritima,actinomorphic,jolyandschoen2021
Loeselia mexicana,actinomorphic,jolyandschoen2021
Logania ovata,actinomorphic,stephens2021
Logania scabrella,actinomorphic,stephens2021
Lomandra banksii,actinomorphic,stephens2021
Lomandra caespitosa,actinomorphic,stephens2021
Lomandra collina,actinomorphic,stephens2021
Lomandra cylindrica,actinomorphic,stephens2021
Lomandra decomposita,actinomorphic,stephens2021
Lomandra densiflora,actinomorphic,stephens2021
Lomandra effusa,actinomorphic,stephens2021
Lomandra fibrata,actinomorphic,stephens2021
Lomandra filiformis,actinomorphic,stephens2021
Lomandra glauca,actinomorphic,stephens2021
Lomandra leucocephala,actinomorphic,stephens2021
Lomandra longifolia,actinomorphic,jolyandschoen2021 stephens2021
Lomandra maritima,actinomorphic,stephens2021
Lomandra micrantha,actinomorphic,stephens2021
Lomandra multiflora,actinomorphic,stephens2021
Lomandra nana,actinomorphic,stephens2021
Lomandra obliqua,actinomorphic,stephens2021
Lomandra sonderi,actinomorphic,stephens2021
Lomandra sororia,actinomorphic,stephens2021
Lomandra suaveolens,actinomorphic,stephens2021
Lomandra tropica,actinomorphic,stephens2021
Lomatia ferruginea,zygomorphic,jolyandschoen2021
Lomatium ambiguum,actinomorphic,jolyandschoen2021
Lomatium bicolor,actinomorphic,jolyandschoen2021
Lomatium bradshawii,actinomorphic,jolyandschoen2021
Lomatium brandegeei,actinomorphic,jolyandschoen2021
Lomatium californicum,actinomorphic,jolyandschoen2021
Lomatium canbyi,actinomorphic,jolyandschoen2021
Lomatium caruifolium,actinomorphic,jolyandschoen2021
Lomatium ciliolatum,actinomorphic,jolyandschoen2021
Lomatium columbianum,actinomorphic,jolyandschoen2021
Lomatium concinnum,actinomorphic,jolyandschoen2021
Lomatium cous,actinomorphic,jolyandschoen2021
Lomatium cusickii,actinomorphic,jolyandschoen2021
Lomatium cuspidatum,actinomorphic,jolyandschoen2021
Lomatium dasycarpum,actinomorphic,jolyandschoen2021
Lomatium daucifolium,actinomorphic,jolyandschoen2021
Lomatium dissectum,actinomorphic,jolyandschoen2021
Lomatium donnellii,actinomorphic,jolyandschoen2021
Lomatium engelmannii,actinomorphic,jolyandschoen2021
Lomatium farinosum,actinomorphic,jolyandschoen2021
Lomatium foeniculaceum,actinomorphic,jolyandschoen2021
Lomatium geyeri,actinomorphic,jolyandschoen2021
Lomatium gormanii,actinomorphic,jolyandschoen2021
Lomatium grayi,actinomorphic,jolyandschoen2021
Lomatium hallii,actinomorphic,jolyandschoen2021
Lomatium hendersonii,actinomorphic,jolyandschoen2021
Lomatium idahoense,actinomorphic,jolyandschoen2021
Lomatium juniperinum,actinomorphic,jolyandschoen2021
Lomatium laevigatum,actinomorphic,jolyandschoen2021
Lomatium marginatum,actinomorphic,jolyandschoen2021
Lomatium martindalei,actinomorphic,jolyandschoen2021
Lomatium minimum,actinomorphic,jolyandschoen2021
Lomatium minus,actinomorphic,jolyandschoen2021
Lomatium mohavense,actinomorphic,jolyandschoen2021
Lomatium nevadense,actinomorphic,jolyandschoen2021
Lomatium nudicaule,actinomorphic,jolyandschoen2021
Lomatium orientale,actinomorphic,jolyandschoen2021
Lomatium piperi,actinomorphic,jolyandschoen2021
Lomatium quintuplex,actinomorphic,jolyandschoen2021
Lomatium rollinsii,actinomorphic,jolyandschoen2021
Lomatium salmoniflorum,actinomorphic,jolyandschoen2021
Lomatium sandbergii,actinomorphic,jolyandschoen2021
Lomatium scabrum,actinomorphic,jolyandschoen2021
Lomatium serpentinum,actinomorphic,jolyandschoen2021
Lomatium simplex,actinomorphic,jolyandschoen2021
Lomatium stebbinsii,actinomorphic,jolyandschoen2021
Lomatium suksdorfii,actinomorphic,jolyandschoen2021
Lomatium torreyi,actinomorphic,jolyandschoen2021
Lomatium tracyi,actinomorphic,jolyandschoen2021
Lomatium triternatum,actinomorphic,jolyandschoen2021
Lomatium tuberosum,actinomorphic,jolyandschoen2021
Lomatium utriculatum,actinomorphic,jolyandschoen2021
Lomatium vaginatum,actinomorphic,jolyandschoen2021
Lomatium vaseyi,actinomorphic,jolyandschoen2021
Lomatium watsonii,actinomorphic,jolyandschoen2021
Lomatogonium carinthiacum,actinomorphic,jolyandschoen2021
Lonchocarpus capassa,zygomorphic,2023TRY_350
Lonicera alpigena,zygomorphic,jolyandschoen2021 yoderetal2020
Lonicera caerulea,zygomorphic,jolyandschoen2021
Lonicera canadensis,zygomorphic,jolyandschoen2021
Lonicera caprifolium,zygomorphic,jolyandschoen2021
Lonicera dioica,zygomorphic,jolyandschoen2021
Lonicera etrusca,zygomorphic,jolyandschoen2021
Lonicera gracilipes,actinomorphic,yoderetal2020
Lonicera japonica,zygomorphic,jolyandschoen2021
Lonicera morrowii,actinomorphic,yoderetal2020
Lonicera nigra,zygomorphic,jolyandschoen2021
Lonicera oblongifolia,zygomorphic,jolyandschoen2021
Lonicera periclymenum,zygomorphic,yoderetal2020
Lonicera prolifera,zygomorphic,jolyandschoen2021
Lonicera sempervirens,actinomorphic,yoderetal2020
Lonicera sullivantii,zygomorphic,yoderetal2020
Lonicera tatarica,zygomorphic,jolyandschoen2021
Lonicera xylosteum,zygomorphic,jolyandschoen2021
Lophira alata,actinomorphic,2023TRY_350
Lophira lanceolata,actinomorphic,2023TRY_350
Lopholaena trianthema,actinomorphic,2023TRY_350
Lophopyxis maingayi,actinomorphic,jolyandschoen2021
Lophospermum breedlovei,zygomorphic,jolyandschoen2021
Lophospermum erubescens,zygomorphic,jolyandschoen2021
Lophospermum purpurascens,zygomorphic,jolyandschoen2021
Lophospermum purpusii,zygomorphic,jolyandschoen2021
Lophospermum scandens,zygomorphic,jolyandschoen2021
Lophospermum turneri,zygomorphic,jolyandschoen2021
Lophostemon grandiflorus,actinomorphic,stephens2021
Lophostemon suaveolens,actinomorphic,stephens2021
Loranthus delavayi,actinomorphic,jolyandschoen2021
Lotus australis,zygomorphic,stephens2021
Lotus becquetii,zygomorphic,2023TRY_350
Lotus brunneri,zygomorphic,2023TRY_350
Lotus corniculatus,zygomorphic,jolyandschoen2021 yoderetal2020
Lotus cruentus,zygomorphic,stephens2021
Lotus glaucus,zygomorphic,yoderetal2020
Lotus purpureus,zygomorphic,2023TRY_350
Lotus sp1 M_PL_050,zygomorphic,yoderetal2020
Lotus uliginosus,zygomorphic,yoderetal2020
Loudetia flavida,zygomorphic,2023TRY_350
Loudetia hordeiformis,zygomorphic,2023TRY_350
Loudetiopsis scaettae,zygomorphic,2023TRY_350
Lozania pittieri,zygomorphic,jolyandschoen2021
Luculia gratissima,actinomorphic,jolyandschoen2021
Ludvigia alternifolia,actinomorphic,yoderetal2020
Ludvigia polycarpa,actinomorphic,yoderetal2020
Ludwigia abyssinica,actinomorphic,2023TRY_350
Ludwigia adscendens,actinomorphic,2023TRY_350
Ludwigia decurrens,actinomorphic,yoderetal2020
Ludwigia epilobioides,actinomorphic,yoderetal2020
Ludwigia erecta,actinomorphic,2023TRY_350
Ludwigia hyssopifolia,actinomorphic,jolyandschoen2021 2023TRY_350
Ludwigia nervosa,actinomorphic,jolyandschoen2021 yoderetal2020
Ludwigia octovalvis,actinomorphic,yoderetal2020 2023TRY_350
Ludwigia octovalvis subsp. brevisepala,actinomorphic,2023TRY_350
Ludwigia sp,actinomorphic,2023TRY_350
Ludwigia stenorraphe,actinomorphic,2023TRY_350
Luehea seemannii,actinomorphic,jolyandschoen2021
Luffa cylindrica,actinomorphic,2023TRY_350
Luma apiculata,actinomorphic,yoderetal2020
Lumnitzera racemosa,actinomorphic,stephens2021
Lunania parviflora,actinomorphic,jolyandschoen2021
Lupinus microcarpus,zygomorphic,yoderetal2020
Lupinus polyphyllus,zygomorphic,yoderetal2020
Luxemburgia octandra,actinomorphic,jolyandschoen2021
Luzula abyssinica,actinomorphic,2023TRY_350
Luzula capitata,actinomorphic,yoderetal2020
Luzula johnstonii,actinomorphic,2023TRY_350
Luzuriaga polyphylla,actinomorphic,yoderetal2020
Luzuriaga radicans,actinomorphic,yoderetal2020
Lychnis flos-cuculi,actinomorphic,yoderetal2020
Lychnis gracillima,actinomorphic,yoderetal2020
Lychnis triflora,actinomorphic,yoderetal2020
Lychnodiscus dananensis,actinomorphic,2023TRY_350
Lycianthes rantonnetii,actinomorphic,2023TRY_350
Lycium australe,actinomorphic,stephens2021
Lycium barbarum,actinomorphic,jolyandschoen2021
Lycium ferocissimum,actinomorphic,stephens2021
Lycium shawii,actinomorphic,2023TRY_350
Lycopersicon cheesmanii,actinomorphic,yoderetal2020
Lycopersicon cheesmanii minor,actinomorphic,yoderetal2020
Lycopus americanus,zygomorphic,yoderetal2020
Lycopus europaeus,zygomorphic,jolyandschoen2021
Lycopus ramosissimus,actinomorphic,yoderetal2020
Lycoris radiata,zygomorphic,jolyandschoen2021
Lycoris squamigera,actinomorphic,jolyandschoen2021
Lymania smithii,actinomorphic,jolyandschoen2021
Lyonia ovalifolia,actinomorphic,yoderetal2020
Lysiana casuarinae,zygomorphic,stephens2021
Lysiana exocarpi,zygomorphic,stephens2021
Lysiana linearifolia,zygomorphic,stephens2021
Lysiana maritima,zygomorphic,jolyandschoen2021
Lysiana spathulata,zygomorphic,stephens2021
Lysiana subfalcata,zygomorphic,stephens2021
Lysimachia arvensis,actinomorphic,stephens2021
Lysimachia clethroides,actinomorphic,yoderetal2020
Lysimachia europaea,actinomorphic,jolyandschoen2021
Lysimachia fortunei,actinomorphic,yoderetal2020
Lysimachia maritima,actinomorphic,jolyandschoen2021
Lysimachia mauiriana,actinomorphic,yoderetal2020
Lysimachia monelli,actinomorphic,2023TRY_350
Lysimachia nemorum,actinomorphic,jolyandschoen2021
Lysimachia nummularia,actinomorphic,jolyandschoen2021
Lysimachia nutans,actinomorphic,2023TRY_350
Lysimachia thyrsiflora,actinomorphic,jolyandschoen2021
Lysimachia vulgaris,actinomorphic,jolyandschoen2021 yoderetal2020
Lysinema pentapetalum,actinomorphic,stephens2021
Lythrum alatum,actinomorphic,yoderetal2020
Lythrum anceps,actinomorphic,yoderetal2020
Lythrum junceum,actinomorphic,2023TRY_350
Lythrum rotundifolium,actinomorphic,2023TRY_350
Lythrum salicaria,actinomorphic,jolyandschoen2021 yoderetal2020
Maackia tashiroi,zygomorphic,yoderetal2020
Maba,actinomorphic,yoderetal2020
Mabrya acerifolia,zygomorphic,jolyandschoen2021
Mabrya coccinea,zygomorphic,jolyandschoen2021
Mabrya erecta,zygomorphic,jolyandschoen2021
Mabrya geniculata,zygomorphic,jolyandschoen2021
Mabrya rosei,zygomorphic,jolyandschoen2021
Macadamia integrifolia,actinomorphic zygomorphic,jolyandschoen2021 2023TRY_350
Macadamia tetraphylla,zygomorphic,2023TRY_350
Macairea pachyphylla,actinomorphic,yoderetal2020
Macairea parvifolia,actinomorphic,yoderetal2020
Macairea radula,zygomorphic,jolyandschoen2021
Machaerium lunatum,zygomorphic,2023TRY_350
Machitus thunbergii,actinomorphic,yoderetal2020
Mackaya bella,zygomorphic,2023TRY_350
Mackinlaya confusa,actinomorphic,jolyandschoen2021
Macleania bullata,actinomorphic,jolyandschoen2021
Macleania rupestris,actinomorphic,yoderetal2020
Macleaya cordata,actinomorphic,yoderetal2020
Macledium humile,actinomorphic,2023TRY_350
Macledium plantaginifolium,actinomorphic,2023TRY_350
Macledium sessiliflorum,actinomorphic,2023TRY_350
Macraea laricifolia,actinomorphic,yoderetal2020
Macrocarpaea rubra,actinomorphic,yoderetal2020
Macropteranthes kekwickii,actinomorphic,stephens2021
Macrosolen bibracteolatus,zygomorphic,jolyandschoen2021
Macrosolen cochinchinensis,actinomorphic,jolyandschoen2021
Macrosphyra longistyla,actinomorphic,2023TRY_350
Macrotyloma axillare,zygomorphic,2023TRY_350
Macrotyloma biflorum,zygomorphic,2023TRY_350
Madagasikaria andersonii,actinomorphic,jolyandschoen2021
Madia sativa,actinomorphic,yoderetal2020
Maerua angolensis,actinomorphic,2023TRY_350
Maerua cafra,actinomorphic,2023TRY_350
Maerua crassifolia,actinomorphic,2023TRY_350
Maerua edulis,actinomorphic,2023TRY_350
Maerua holstii,actinomorphic,2023TRY_350
Maerua juncea,actinomorphic,2023TRY_350
Maerua kirkii,actinomorphic,jolyandschoen2021 2023TRY_350
Maerua oblongifolia,actinomorphic,2023TRY_350
Maerua parvifolia,actinomorphic,2023TRY_350
Maerua schinzii,actinomorphic,2023TRY_350
Maerua triphylla,actinomorphic zygomorphic,2023TRY_350
Maerua triphylla var. pubescens,actinomorphic zygomorphic,2023TRY_350
Maesa lanceolata,actinomorphic,2023TRY_350
Maesa tenera,actinomorphic,jolyandschoen2021 yoderetal2020
Maesobotrya pynaertii,actinomorphic,2023TRY_350
Magnistipula butayei,actinomorphic zygomorphic,2023TRY_350
Magnistipula butayei subsp. bangweolensis,actinomorphic,2023TRY_350
Magnistipula sapinii,actinomorphic,2023TRY_350
Magnolia grandiflora,actinomorphic,jolyandschoen2021
Magnolia salicifolia,actinomorphic,yoderetal2020
Magnolia tripetala,actinomorphic,jolyandschoen2021
Mahonia bealei,actinomorphic,jolyandschoen2021
Mahonia japonica,actinomorphic,yoderetal2020
Maianthemum canadense,actinomorphic,yoderetal2020
Majidea forsteri,actinomorphic,2023TRY_350
Malaxis katangensis,zygomorphic,2023TRY_350
Malcolmia chia,actinomorphic,yoderetal2020
Malephora flavocrocea,actinomorphic,2023TRY_350
Malephora latipetala,actinomorphic,2023TRY_350
Malephora purpureocrocea,actinomorphic,2023TRY_350
Malephora thunbergii,actinomorphic,2023TRY_350
Malesherbia linearifolia,actinomorphic,jolyandschoen2021
Malesherbia linearifolius,actinomorphic,yoderetal2020
Malleostemon hursthousei,actinomorphic,stephens2021
Malleostemon peltiger,actinomorphic,stephens2021
Mallotus japonicus,actinomorphic,yoderetal2020
Mallotus oppositifolius,actinomorphic,2023TRY_350
Malpighia emarginata,zygomorphic,jolyandschoen2021
Malpighia glabra,actinomorphic,yoderetal2020
Malpighiodes guianensis,zygomorphic,jolyandschoen2021
Malus halliana,actinomorphic,yoderetal2020
Malus sieboldii,actinomorphic,yoderetal2020
Malva preissiana,actinomorphic,stephens2021
Malva rotundifolia,actinomorphic,yoderetal2020
Malva sylvestris,actinomorphic,yoderetal2020
Malva weinmanniana,actinomorphic,stephens2021
Malvastrum americanum,actinomorphic,stephens2021
Malvastrum coccineum,actinomorphic,yoderetal2020
Malvastrum coromandelianum,actinomorphic,jolyandschoen2021 yoderetal2020
Malvaviscus arboreus,actinomorphic,2023TRY_350
Mammea americana,actinomorphic,jolyandschoen2021
Mandevilla benthamii,actinomorphic,yoderetal2020
Mandevilla petraea,actinomorphic,jolyandschoen2021
Mandirola ichthyostoma,zygomorphic,jolyandschoen2021
Mandirola multiflora,zygomorphic,jolyandschoen2021
Mandragora officinarum,actinomorphic,jolyandschoen2021
Manettia cordifolia,actinomorphic,yoderetal2020
Manettia mirtis,actinomorphic,yoderetal2020
Manettia mitis,actinomorphic,jolyandschoen2021
Mangifera indica,actinomorphic,2023TRY_350
Manihot carthaginensis subsp. glaziovii,actinomorphic,2023TRY_350
Manihot esculenta,actinomorphic,jolyandschoen2021 2023TRY_350
Manilkara jaimiqui,actinomorphic,jolyandschoen2021
Manilkara obovata,actinomorphic,2023TRY_350
Manilkara pellegriniana,actinomorphic,2023TRY_350
Manilkara sansibarensis,actinomorphic,2023TRY_350
Manilkara zapota,actinomorphic,jolyandschoen2021
Manniophyton fulvum,actinomorphic,2023TRY_350
Manotes expansa,actinomorphic,2023TRY_350
Manulea parviflora,zygomorphic,2023TRY_350
Maprounea africana,actinomorphic,2023TRY_350
Maranta arundinacea,zygomorphic,jolyandschoen2021
Maranta cristata,actinomorphic,jolyandschoen2021
Maranthes glabra,zygomorphic,2023TRY_350
Maranthes polyandra,actinomorphic,2023TRY_350
Marantochloa conferta,zygomorphic,2023TRY_350
Marantochloa congensis,zygomorphic,2023TRY_350
Marantochloa cordifolia,zygomorphic,2023TRY_350
Marantochloa cuspidata,zygomorphic,2023TRY_350
Marantochloa filipes,zygomorphic,2023TRY_350
Marantochloa incertifolia,zygomorphic,2023TRY_350
Marantochloa leucantha,zygomorphic,2023TRY_350
Marantochloa mannii,zygomorphic,2023TRY_350
Marantochloa mildbraedii,zygomorphic,2023TRY_350
Marantochloa monophylla,zygomorphic,2023TRY_350
Marantochloa purpurea,zygomorphic,2023TRY_350
Marantochloa ramosissima,zygomorphic,2023TRY_350
Marathrum rubrum,actinomorphic,jolyandschoen2021
Marcelliopsis denudata,actinomorphic,2023TRY_350
Marcetia taxifolia,actinomorphic,yoderetal2020
Margaretta rosea,actinomorphic,2023TRY_350
Margaretta rosea subsp. corallina,actinomorphic,2023TRY_350
Margaritaria discoidea,actinomorphic,2023TRY_350
Margaritaria discoidea var. nitida,actinomorphic,2023TRY_350
Marianthus bicolor,zygomorphic,stephens2021
Marianthus erubescens,zygomorphic,stephens2021
Mariscus cylindrystachyus,zygomorphic,2023TRY_350
Markea coccinea,actinomorphic,yoderetal2020
Markhamia lutea,zygomorphic,2023TRY_350
Markhamia obtusifolia,zygomorphic,2023TRY_350
Markhamia tomentosa,zygomorphic,2023TRY_350
Markhamia zanzibarica,zygomorphic,2023TRY_350
Marquesia macroura,actinomorphic,2023TRY_350
Marrubium alysson,zygomorphic,2023TRY_350
Marrubium vulgare,zygomorphic,yoderetal2020 stephens2021
Marsdenia abyssinica,actinomorphic,2023TRY_350
Marsdenia australis,actinomorphic,stephens2021
Marsdenia latifolia,actinomorphic,2023TRY_350
Marsdenia rubicunda,actinomorphic,2023TRY_350
Marsdenia trinervis,actinomorphic,stephens2021
Marsdenia viridiflora,actinomorphic,stephens2021
Martretia quadricornis,actinomorphic,2023TRY_350
Martynia annua,zygomorphic,jolyandschoen2021 2023TRY_350
Martynia louisiana,zygomorphic,yoderetal2020
Mascarenhasia arborescens,actinomorphic,2023TRY_350
Massonia bifolia,actinomorphic,2023TRY_350
Massonia depressa,actinomorphic,2023TRY_350
Massonia echinata,actinomorphic,2023TRY_350
Massonia jasminiflora,actinomorphic,2023TRY_350
Massonia longipes,actinomorphic,2023TRY_350
Massonia pustulata,actinomorphic,2023TRY_350
Massonia setulosa,actinomorphic,2023TRY_350
Massonia wittebergensis,actinomorphic,2023TRY_350
Massularia acuminata,actinomorphic,2023TRY_350
Matricaria chamomilla,actinomorphic,jolyandschoen2021
Matricaria matricarioides,actinomorphic,jolyandschoen2021
Mauloutchia chapelieri,actinomorphic,jolyandschoen2021
Maurandya antirrhiniflora,zygomorphic,jolyandschoen2021
Maurandya barclayana,zygomorphic,jolyandschoen2021
Maurandya scandens,zygomorphic,jolyandschoen2021
Maurandya wislizeni,zygomorphic,jolyandschoen2021
Mayaca fluviatilis,actinomorphic,jolyandschoen2021
Mayaca madida,actinomorphic,jolyandschoen2021
Maytenus sp,actinomorphic,2023TRY_319
Maytenus sp. Mt Windell (S.van Leeuwen 846),actinomorphic,stephens2021
Mazus miquelii,zygomorphic,jolyandschoen2021
Mazus pumilus,zygomorphic,jolyandschoen2021
Medeola virginiana,actinomorphic,yoderetal2020
Medicago arabica,zygomorphic,jolyandschoen2021
Medicago intertexta,zygomorphic,jolyandschoen2021
Medicago laciniata,zygomorphic,stephens2021
Medicago lupulina,zygomorphic,jolyandschoen2021 yoderetal2020
Medicago minima,zygomorphic,stephens2021
Medicago orbicularis,zygomorphic,jolyandschoen2021
Medicago polymorpha,zygomorphic,stephens2021
Medicago sativa,zygomorphic,jolyandschoen2021
Medicago scutellata,zygomorphic,jolyandschoen2021
Medicago truncatula,zygomorphic,stephens2021
Medicago turbinata,zygomorphic,jolyandschoen2021
Medusagyne,actinomorphic,yoderetal2020
Medusagyne oppositifolia,actinomorphic,jolyandschoen2021 yoderetal2020 2023TRY_350
Meehania urticifolia,zygomorphic,yoderetal2020
Megaphrynium gabonense,zygomorphic,2023TRY_350
Megaphrynium macrostachyum,zygomorphic,2023TRY_350
Megaphrynium trichogynum,zygomorphic,2023TRY_350
Melaleuca acuminata,actinomorphic,stephens2021
Melaleuca argentea,actinomorphic,stephens2021
Melaleuca bracteata,actinomorphic,stephens2021
Melaleuca calyptroides,actinomorphic,stephens2021
Melaleuca cardiophylla,actinomorphic,stephens2021
Melaleuca carrii,actinomorphic,stephens2021
Melaleuca citrolens,actinomorphic,stephens2021
Melaleuca cordata,actinomorphic,stephens2021
Melaleuca decussata,actinomorphic,stephens2021
Melaleuca dissitiflora,actinomorphic,stephens2021
Melaleuca eleuterostachya,actinomorphic,stephens2021
Melaleuca filifolia,actinomorphic,stephens2021
Melaleuca foliolosa,actinomorphic,stephens2021
Melaleuca gibbosa,actinomorphic,stephens2021
Melaleuca glomerata,actinomorphic,stephens2021
Melaleuca hamata,actinomorphic,stephens2021
Melaleuca idana,actinomorphic,stephens2021
Melaleuca interioris,actinomorphic,stephens2021
Melaleuca lanceolata,actinomorphic,stephens2021
Melaleuca lateriflora,actinomorphic,stephens2021
Melaleuca laxiflora,actinomorphic,stephens2021
Melaleuca leucadendra,actinomorphic,stephens2021
Melaleuca nervosa,actinomorphic,stephens2021
Melaleuca pauperiflora,actinomorphic,stephens2021
Melaleuca platycalyx,actinomorphic,stephens2021
Melaleuca protrusa,actinomorphic,stephens2021
Melaleuca psammophila,actinomorphic,stephens2021
Melaleuca quadrifaria,actinomorphic,stephens2021
Melaleuca saligna,actinomorphic,stephens2021
Melaleuca scalena,actinomorphic,stephens2021
Melaleuca stenostachya,actinomorphic,stephens2021
Melaleuca subtrigona,actinomorphic,stephens2021
Melaleuca thymoides,actinomorphic,stephens2021
Melaleuca trichophylla,actinomorphic,stephens2021
Melaleuca trichostachya,actinomorphic,stephens2021
Melaleuca tuberculata,actinomorphic,stephens2021
Melaleuca uncinata,actinomorphic,stephens2021
Melaleuca villosisepala,actinomorphic,stephens2021
Melaleuca vinnula,actinomorphic,stephens2021
Melaleuca viridiflora,actinomorphic,stephens2021
Melampyrum arvense,zygomorphic,jolyandschoen2021
Melampyrum cristatum,zygomorphic,jolyandschoen2021
Melampyrum nemorosum,zygomorphic,jolyandschoen2021
Melampyrum pratense,zygomorphic,jolyandschoen2021
Melampyrum sylvaticum,zygomorphic,jolyandschoen2021
Melandrium triflorum,actinomorphic,yoderetal2020
Melanophylla alnifolia,actinomorphic,jolyandschoen2021
Melanthium virginicum,actinomorphic,yoderetal2020
Melasma calycinum,actinomorphic zygomorphic,2023TRY_350
Melasma scabrum,actinomorphic,2023TRY_350
Melastoma candidum,actinomorphic,yoderetal2020
Melastomastrum capitatum,actinomorphic zygomorphic,2023TRY_350
Melastomastrum segregatum,actinomorphic zygomorphic,2023TRY_350
Melhania oblongifolia,actinomorphic,stephens2021
Melhania ovata,actinomorphic,2023TRY_350
Melia azedarach,actinomorphic,stephens2021 2023TRY_350
Melia volkensii,actinomorphic,2023TRY_350
Melianthus dregeanus,zygomorphic,2023TRY_350
Melianthus major,zygomorphic,jolyandschoen2021 2023TRY_350
Melianthus pectinatus,zygomorphic,2023TRY_350
Melichrus urceolatus,actinomorphic,stephens2021
Melicytus angustifolius,actinomorphic,stephens2021
Melicytus dentatus,zygomorphic,jolyandschoen2021
Melilotus alba,zygomorphic,yoderetal2020
Melilotus albus,zygomorphic,yoderetal2020
Melilotus indicus,zygomorphic,stephens2021
Melilotus officinalis,zygomorphic,yoderetal2020
Melinis repens,zygomorphic,2023TRY_350
Meliosma oldhamii,actinomorphic,yoderetal2020
Meliosma pinnata,zygomorphic,jolyandschoen2021
Meliosma rigida,actinomorphic,yoderetal2020
